"","sample","tissue","endometriosis","severity","p210859_x_at","p209275_s_at","CLN3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.155345,7.96336,8.0593525
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.293881,8.12315,8.2085155
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.056925,6.217088,6.6370065
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.174868,7.984694,8.079781
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.155345,8.078518,8.1169315
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.110967,8.133078,8.1220225
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.915499,8.107482,8.0114905
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.616238,6.580972,7.098605
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.986251,8.057359,8.021805
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.155345,7.838392,7.9968685
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.184394,6.240162,6.212278
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.522065,6.075643,6.298854
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.616235,6.811374,6.7138045
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.249478,6.549658,6.899568
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.08664,8.173936,8.130288
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.910719,7.735971,7.823345
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.026648,7.642135,7.8343915
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.616238,7.577573,7.5969055
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.899692,6.74246,6.821076
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.580797,9.70052,9.6406585
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.031857,10.173583,10.10272
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.455125,9.378409,9.416767
