"","sample","tissue","endometriosis","severity","p218136_s_at","p222528_s_at","p221920_s_at","p222529_at","p226179_at","SLC25A37"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.156436,8.553278,7.181535,10.497819,8.188711,8.3155558
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.63395,8.623141,7.217273,9.350608,7.370531,8.4391006
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.250406,8.055294,7.687468,9.793989,7.721986,8.3018286
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.961907,8.519414,7.148185,10.338131,8.407374,8.4750022
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.936924,8.40774,6.848227,9.53039,7.38005,7.8206662
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.567775,8.608565,6.987398,9.999075,7.93874,8.2203106
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.03938,9.055434,8.458945,10.570981,8.41094,8.907136
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.044683,8.818285,7.963338,11.043405,8.592327,9.0924076
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.984185,8.43045,7.458447,10.605531,7.5989,8.4155026
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.690615,7.785503,6.910834,9.458072,7.424646,7.653934
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.174281,8.326807,7.553419,10.210987,7.384401,8.329979
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.846961,9.167175,7.910932,11.010042,8.523969,9.0918158
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.041681,10.405428,7.477852,11.718866,9.31867,9.3924994
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.827802,9.567545,8.032767,10.584395,7.929468,8.5883954
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.651322,9.46734,7.386974,10.7302,7.977522,8.4426716
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.253882,9.591206,8.469445,11.113466,8.382567,8.9621132
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.022038,10.126332,8.509821,11.520315,9.439552,9.5236116
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.350964,8.820076,7.304767,10.995111,8.142569,8.5226974
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.546585,9.737309,7.903865,11.174793,8.366402,8.9457908
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.280968,7.152533,6.641729,9.387932,5.956064,6.8838452
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.939545,4.424753,6.381006,8.890112,6.475724,6.222228
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.730582,5.063708,6.609891,8.366471,4.700565,5.8942434
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.293796,8.80039,8.815705,11.427612,8.121973,8.6918952
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.014172,4.477323,6.02085,7.559028,5.82119,5.7785126
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.082682,7.200361,7.208083,9.730275,5.51026,6.9463322
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.49254,7.74375,8.048429,10.793708,4.891554,7.1939962
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.614194,4.611897,6.890199,8.530133,4.827862,5.894857
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.005535,6.766961,6.756467,8.812262,5.58452,6.585149
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.133801,10.606866,9.114203,12.259816,8.562996,9.5355364
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.103075,5.548027,8.063958,8.946196,6.231291,6.9785094
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.537627,7.784835,8.071992,10.22311,5.370462,7.3976052
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.721688,6.509196,6.81848,8.704733,5.619652,6.4747498
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.693847,7.97403,7.277908,10.164974,4.270261,6.876204
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.361058,6.761747,6.678476,8.986225,4.921151,6.1417314
