"","sample","tissue","endometriosis","severity","p218700_s_at","p218699_at","RAB29"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.720941,5.742995,4.231968
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.692312,5.118946,3.905629
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.141019,5.791401,4.46621
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.841878,6.230529,4.5362035
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.892696,6.015763,4.4542295
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.843561,5.330604,4.0870825
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.720941,5.733613,4.227277
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.794163,6.784207,4.789185
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.52513,6.466781,5.4959555
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.686619,7.93663,6.3116245
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.013893,6.288937,5.151415
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.38581,6.209092,5.297451
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.495814,5.217613,3.8567135
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.885388,6.403879,4.6446335
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.08776,5.836419,4.4620895
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.800861,5.3671,4.5839805
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.712103,5.76614,4.2391215
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.183867,6.217545,4.700706
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.404326,7.073144,6.238735
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.664366,6.445043,4.5547045
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,6.596308,4.4161875
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.712103,6.906085,4.809094
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.670618,6.761822,4.71622
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.712103,6.858628,4.7853655
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.35265,5.330604,3.841627
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.293265,4.672456,3.4828605
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.332899,5.76614,4.0495195
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.665677,6.384559,4.525118
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.3391,6.0839,4.2115
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.293265,5.76614,4.0297025
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.712103,6.487884,4.5999935
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.315209,6.880815,4.598012
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.293265,5.554322,3.9237935
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,5.166398,3.7012325
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.639107,6.391038,4.5150725
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.293265,6.376826,4.3350455
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,5.76614,4.0011035
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.665677,6.528855,4.597266
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,5.946007,4.091037
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.293265,5.596143,3.944704
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.724874,6.795972,4.760423
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.293265,6.493256,4.3932605
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,5.915453,4.07576
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.74957,7.201898,4.975734
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.332899,6.265186,4.2990425
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.293265,6.801718,4.5474915
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,5.76614,4.0011035
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.685524,6.567587,4.6265555
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.392858,5.751967,4.0724125
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.293265,5.330604,3.8119345
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,6.287643,4.261855
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.332899,6.567877,4.450388
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.332899,6.348739,4.340819
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.332899,5.993985,4.163442
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.332899,6.945261,4.63908
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.471601,8.628723,5.550162
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,6.500661,4.368364
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.98838,7.332102,5.160241
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.523144,8.413261,6.4682025
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.315526,5.77404,4.044783
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.322941,5.838118,4.0805295
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.533773,7.446687,5.49023
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.720941,7.35127,5.0361055
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.723144,8.746132,5.734638
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.522744,5.881379,4.2020615
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.665677,6.703512,4.6845945
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.4254,5.76614,4.09577
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.959643,9.313477,7.63656
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.844519,7.930844,6.3876815
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.095912,8.671974,6.883943
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.124379,9.419023,7.771701
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.247913,6.542026,4.8949695
