"","sample","tissue","endometriosis","severity","p209278_s_at","p209277_at","TFPI2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.115106,12.211274,12.66319
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.85084,10.319298,11.585069
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.639127,6.39795,7.0185385
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.316249,4.874855,5.595552
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.065887,10.10008,11.0829835
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.76649,6.849626,7.308058
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.410307,4.874855,5.642581
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.576761,7.603324,8.5900425
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.232945,10.189134,11.2110395
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.979505,6.609254,7.2943795
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.506947,8.355813,8.93138
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.402881,8.08544,8.7441605
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.010515,9.487664,10.2490895
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.410865,7.577213,8.494039
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.767718,11.100879,11.9342985
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.922565,9.781781,10.852173
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.309613,8.294113,9.301863
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.525115,6.913478,7.2192965
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.111367,7.964912,8.0381395
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.476197,7.341645,8.408921
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.564828,10.510178,11.537503
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.197255,8.390758,9.2940065
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.912388,11.59935,12.755869
