"","sample","tissue","endometriosis","severity","p203208_s_at","p232314_at","MTFR1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.381613,2.236067,5.30884
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.181845,2.236067,5.208956
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.673748,2.236067,4.9549075
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.597236,2.236067,5.4166515
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.204561,2.236067,5.720314
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.290038,2.236067,5.2630525
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.493297,2.236067,4.864682
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.662435,2.236067,4.949251
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.666145,2.236067,5.451106
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.534966,2.236067,5.3855165
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.572358,2.236067,5.4042125
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.23752,2.236067,5.2367935
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.400764,2.236067,5.3184155
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.154561,2.236067,5.695314
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.615401,2.236067,5.425734
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.452547,2.236067,5.344307
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.774121,2.236067,5.505094
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.17216,2.236067,5.7041135
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.997627,2.236067,5.616847
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.885536,2.236067,5.0608015
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.282137,2.236067,5.259102
