"","sample","tissue","endometriosis","severity","p228594_at","p226946_at","p229299_at","NADK2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.838268,6.190616,4.420735,6.48320633333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.588726,6.548116,4.137958,6.0916
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.33894,4.638524,3.545557,5.50767366666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.209893,5.07476,3.545557,5.27673666666667
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.31681,6.576208,5.765404,6.88614066666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.658371,5.912716,3.975042,5.84870966666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.209893,4.638524,3.545557,5.13132466666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.289669,5.802347,3.963865,6.018627
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.548839,6.51115,4.460451,6.50681333333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.564969,6.810078,4.883635,6.41956066666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.428615,6.500549,5.237423,6.72219566666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.167503,5.883237,4.514445,6.188395
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.492696,5.028328,3.664102,5.72837533333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.367987,5.699013,4.349597,6.13886566666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.291676,6.465937,4.465938,6.74118366666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.881742,5.860703,4.221988,6.32147766666667
