"","sample","tissue","endometriosis","severity","p208939_at","p208940_at","p208941_s_at","SEPHS1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.536031,7.427395,7.069999,7.67780833333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.382292,7.164747,8.622646,8.05656166666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.857134,7.981011,6.273596,7.37058033333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.541492,6.5318,5.978058,6.68378333333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.799537,7.191122,6.620699,7.53711933333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.333267,6.480754,6.848443,6.887488
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.50458,6.360626,5.520387,5.79519766666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.699873,8.092838,6.818753,7.870488
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.064457,7.188389,6.651855,7.301567
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.599612,6.650097,6.528022,6.592577
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.905349,7.630893,7.288735,7.941659
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.816648,7.888394,7.273071,7.99270433333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.068273,6.370052,5.768758,6.402361
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.187549,8.832041,7.845327,8.621639
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.546393,7.740757,7.12472,7.80395666666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.454873,7.029683,6.159207,6.88125433333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.488176,6.545189,5.988894,6.67408633333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.39516,6.391053,5.938731,6.57498133333333
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.877589,6.725287,6.260599,6.62115833333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.841488,5.725711,7.421334,6.66284433333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.054501,7.607986,8.261095,7.97452733333333
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.953932,6.22787,7.798511,6.99343766666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.807009,7.416475,7.74169,7.655058
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.813992,5.725711,7.549767,6.69649
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.715085,5.725711,7.602712,6.68116933333333
