"","sample","tissue","endometriosis","severity","p218904_s_at","p222781_s_at","C9orf40"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.286356,6.857377,5.5718665
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.805942,6.951775,5.3788585
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.466426,5.193418,4.829922
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.564363,5.8483,4.7063315
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.134114,6.776825,5.4554695
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.289189,5.069512,4.1793505
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.425693,5.486499,4.456096
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.348187,5.824701,4.586444
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.100515,6.986775,5.543645
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.107052,6.219283,4.6631675
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.69015,5.637805,4.6639775
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.220478,5.929926,4.575202
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.107052,5.289251,4.1981515
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.004971,6.849612,5.4272915
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.009396,5.785816,4.897606
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.107052,5.912385,4.5097185
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.289189,5.44028,4.3647345
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.107052,6.602273,4.8546625
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.580887,5.33458,4.4577335
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.696789,6.696616,5.1967025
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.85431,8.259569,6.5569395
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.66511,8.297395,6.9812525
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.289189,6.534694,4.9119415
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.03108,7.543427,5.7872535
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.69015,7.677534,5.683842
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.80603,9.500759,6.6533945
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.505572,7.191877,5.3487245
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.273878,7.502338,5.888108
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.69015,8.223833,5.9569915
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.69015,8.738528,6.214339
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.69015,6.699806,5.194978
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.712905,8.372749,6.542827
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.69015,7.0365,5.363325
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.78471,8.830813,6.3077615
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.187274,7.942755,6.5650145
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.69015,7.134082,5.412116
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.350839,7.500572,5.4257055
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.381831,7.647562,6.0146965
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.69015,6.927797,5.3089735
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.69015,6.769671,5.2299105
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.69015,6.927354,5.308752
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.107052,6.828379,4.9677155
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.745977,7.611274,5.6786255
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.289189,6.36429,4.8267395
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.69015,7.422084,5.556117
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.69015,7.771347,5.7307485
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.867227,8.449919,6.158573
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.136653,6.984264,5.0604585
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.69015,7.305998,5.498074
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.719382,8.878624,6.299003
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.69015,8.039525,5.8648375
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.69015,6.650416,5.170283
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.69015,7.858647,5.7743985
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.503052,8.056682,6.279867
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.822211,7.693057,6.257634
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.67441,7.950756,6.812583
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.69015,6.737376,5.213763
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.856139,6.703145,5.779642
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.802243,7.216859,6.009551
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.268553,8.430131,6.349342
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.704163,7.48596,5.5950615
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.39788,7.326131,5.8620055
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.406729,7.151139,5.778934
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.373053,6.274244,4.8236485
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.728224,8.196562,6.962393
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.69015,6.911497,5.3008235
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.69015,7.334021,5.5120855
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.550533,8.335433,6.942983
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.572833,7.271145,6.421989
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.766099,6.940761,5.85343
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.131302,6.743125,5.4372135
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.996427,7.796461,6.396444
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.373394,7.59273,6.483062
