"","sample","tissue","endometriosis","severity","p209592_s_at","p221745_at","p224730_at","p236134_at","DCAF7"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.034071,5.870937,4.495839,4.963729,5.341144
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.364518,6.104632,6.604944,4.725489,5.94989575
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.034071,5.814621,6.075515,4.845742,5.69248725
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.034071,5.608995,4.538851,5.115881,5.3244495
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.297098,6.995287,6.814611,5.220424,6.581855
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.034071,5.608995,5.45815,4.335518,5.3591835
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.77965,5.098962,5.874168,4.718815,5.36789875
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.034071,5.442059,5.066582,4.782324,5.331259
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.865128,5.877042,5.954813,5.344493,5.760369
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.034071,5.718153,6.390559,4.718815,5.7153995
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.396065,6.470404,6.102664,4.36318,5.83307825
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.148392,5.608995,6.18123,5.031166,5.74244575
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.664738,6.193242,4.934826,4.718815,5.37790525
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.366674,6.842913,6.450961,5.495234,6.2889455
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.792406,5.608995,5.821351,4.965442,5.5470485
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.94033,5.625116,5.601106,5.097426,5.5659945
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.034071,5.608995,5.590489,5.829812,5.76584175
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.556978,5.608995,6.506628,4.718815,5.847854
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.20815,6.370566,6.774734,5.008042,6.090373
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.974105,5.990457,4.163403,5.830716,5.98967025
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.012492,4.978531,4.163403,5.016844,5.5428175
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.791481,5.911556,5.89053,5.666818,6.31509625
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.903058,7.857892,5.601106,5.716579,6.76965875
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.373322,4.249818,3.677002,5.094906,5.348762
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.510506,5.70186,4.896144,6.619282,6.181948
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.099792,6.124058,4.163403,6.746437,6.2834225
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.802345,5.173621,4.163403,5.59837,5.93443475
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.730469,5.899142,4.849528,5.636602,6.02893525
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.444069,5.446833,4.944446,6.489184,6.081133
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.678287,4.683966,3.285709,5.489425,5.53434675
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.614382,6.605104,5.250909,5.351753,6.455537
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.995331,5.263362,5.122412,6.2558,6.15922625
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.773404,5.608995,4.638724,5.915639,6.2341905
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.590594,5.173621,3.311539,5.391205,5.61673975
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.911375,5.918571,7.055992,5.132921,6.25471475
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.832267,7.138403,7.527194,5.656453,7.28857925
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.297717,6.645276,4.372961,5.850101,6.29151375
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.618233,4.249818,4.220003,5.186575,5.31865725
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.271441,6.449021,2.457554,5.829934,5.7519875
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.881489,6.806402,5.601106,6.364072,6.66326725
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.014763,8.291708,4.402807,6.62676,6.8340095
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.781164,4.654307,3.406843,6.084652,5.7317415
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.526761,6.119175,3.599063,4.718815,5.4909535
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.147366,5.351365,4.264247,6.325205,5.77204575
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.648482,5.607614,5.109409,5.201066,6.14164275
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.346151,6.372272,3.522764,5.314328,5.88887875
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.118538,4.880812,2.442413,5.127161,5.392231
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.49044,6.662824,4.195937,6.050459,6.349915
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.072349,6.689824,4.163403,5.76177,6.1718365
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.383346,5.479607,3.657038,5.475902,5.74897325
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.218027,6.06564,5.261018,5.328858,6.21838575
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.066808,4.249818,4.758979,5.180487,5.564023
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.115573,5.029745,3.863341,6.021504,5.75754075
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.508805,5.883706,4.562305,7.137418,6.5230585
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.751294,5.608995,5.472273,5.822318,6.41372
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.001084,5.701731,3.551811,4.764366,5.254748
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.712055,5.608995,5.094839,5.404828,5.95517925
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.495857,5.409903,5.667888,4.718815,5.82311575
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.319116,4.691077,5.273029,5.352481,5.65892575
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.721406,4.518599,3.742078,5.701895,5.4209945
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.41347,5.560501,5.985638,6.185826,6.28635875
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.916042,3.194927,4.527827,3.919851,4.88966175
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.129104,5.041487,5.699956,5.931706,5.95056325
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.086267,5.608995,4.635008,6.343598,5.918467
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.045733,5.815027,4.504879,4.769172,5.53370275
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.699528,5.133056,4.586098,6.627233,5.76147875
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.269698,4.249818,4.163403,4.718815,5.3504335
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.099729,6.604907,7.529431,3.812695,6.2616905
