"","sample","tissue","endometriosis","severity","p205322_s_at","p227150_at","MTF1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.310733,5.779548,6.0451405
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.310733,5.779548,6.0451405
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.355496,5.779548,6.067522
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.413803,8.994391,8.704097
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.93677,5.779548,5.858159
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.789629,9.75617,9.2728995
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.566017,8.830474,8.6982455
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.310733,6.156942,6.2338375
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.213282,6.156942,6.185112
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.966164,9.673647,9.3199055
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.134784,5.779548,5.957166
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.310733,6.16947,6.2401015
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.554613,7.266392,7.9105025
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.181958,6.223781,6.2028695
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.309678,6.267995,6.2888365
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.352776,7.552235,7.4525055
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.90727,8.373762,8.140516
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.664565,9.559488,9.1120265
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.843271,9.55889,9.2010805
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.089513,7.518746,7.8041295
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.403001,5.846207,6.124604
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.278725,8.8925,9.0856125
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.027848,6.205503,6.6166755
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.012606,8.169054,8.09083
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.729586,6.862004,7.295795
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.309416,5.851272,6.080344
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.310733,4.812936,5.5618345
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.3758,6.054955,6.2153775
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.960435,7.031233,6.995834
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.247414,5.260731,5.7540725
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.371912,5.375344,5.873628
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.502327,6.156942,6.3296345
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.309416,4.233101,5.2712585
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.309416,4.456563,5.3829895
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.215944,7.833327,7.5246355
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.605767,8.816698,8.7112325
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.310733,5.441219,5.875976
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.105625,7.36717,7.2363975
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.263022,5.604903,5.9339625
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.860619,7.031233,7.445926
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.414834,6.150766,6.2828
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.93677,5.50342,5.720095
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.656676,6.156942,6.406809
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.665483,6.837556,6.7515195
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.056984,7.673335,8.3651595
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.309416,6.156942,6.233179
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.125222,4.635458,5.38034
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.799581,6.156942,6.9782615
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.082722,6.3344,6.708561
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.762862,5.779548,6.271205
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.310733,4.811904,5.5613185
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.652295,7.980122,7.8162085
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.309416,5.96656,6.137988
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.932823,5.586588,6.2597055
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.181697,6.155664,6.1686805
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.251118,7.031233,6.6411755
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.310733,5.853266,6.0819995
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.997795,9.826099,9.911947
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.423137,8.716448,8.0697925
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.149716,7.200962,7.175339
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.568667,6.409374,6.4890205
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.204943,9.76632,9.4856315
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.659867,9.421992,9.5409295
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.382114,7.147768,7.264941
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.145876,7.253953,7.1999145
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.817964,5.770043,6.2940035
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.310733,6.02385,6.1672915
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.052258,7.118047,6.5851525
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.562277,7.285659,6.923968
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.959879,7.031233,6.495556
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.623626,7.340993,6.9823095
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.079459,8.08923,7.5843445
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.310733,7.031233,6.670983
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.047731,7.031233,6.539482
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.310733,7.134032,6.7223825
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.051309,8.199697,7.625503
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.916374,7.42219,6.669282
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.768099,9.264359,9.016229
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.602216,7.539548,7.070882
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.812091,8.559519,8.685805
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.431708,7.031233,6.7314705
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.06178,7.145424,6.603602
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.32666,7.7584,8.04253
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.079636,7.816555,7.9480955
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.939102,6.343081,6.1410915
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.665829,9.220856,9.4433425
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.310733,4.899541,5.605137
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.178432,8.222651,8.7005415
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.309416,6.269254,6.289335
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.947648,5.57412,5.760884
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.404484,7.766141,8.0853125
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.801507,6.026141,6.413824
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.232867,5.779548,6.0062075
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.331801,8.170147,8.750974
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.955699,7.107759,7.531729
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.310733,5.964148,6.1374405
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.027507,8.645949,8.836728
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.055736,8.308668,8.682202
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.055781,6.200806,6.6282935
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.940934,6.105692,6.523313
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.486419,6.095978,6.2911985
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.445856,6.731143,6.5884995
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.413163,9.157428,9.2852955
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.126699,5.625539,5.876119
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.501179,7.081777,7.791478
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.181765,8.52485,8.8533075
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.924143,6.014993,5.469568
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.399273,6.345326,6.3722995
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.46611,6.233612,6.349861
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.256946,5.398333,5.8276395
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.449261,5.788495,6.118878
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.698142,6.156942,6.427542
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.283824,7.003732,7.143778
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.608915,10.14971,9.8793125
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.75471,8.004506,7.879608
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.904043,9.093012,8.9985275
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.872492,9.323354,9.097923
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.93677,6.214987,6.0758785
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.010469,5.779548,5.8950085
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.444709,6.663088,6.5538985
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.160755,6.789423,6.475089
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.275461,7.031233,6.653347
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.565361,7.039691,6.802526
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.85097,8.535564,8.193267
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.310733,7.031233,6.670983
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.527202,7.911851,7.7195265
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.339273,7.3514,6.8453365
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.058074,10.47612,9.767097
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.111044,11.087054,10.599049
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.93677,6.514362,6.225566
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.782662,7.265557,7.0241095
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.343921,7.424405,6.884163
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.310733,7.03295,6.6718415
