"","sample","tissue","endometriosis","severity","p200742_s_at","p200743_s_at","p214196_s_at","TPP1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.497528,9.552576,5.958675,8.00292633333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.234632,9.242607,7.407315,8.29485133333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.005778,10.085274,6.384991,8.49201433333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.384874,9.718679,7.404991,8.502848
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.843108,9.670052,8.44284,8.98533333333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.888851,9.794965,7.779417,8.82107766666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.846288,9.474886,6.728124,8.01643266666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.920123,10.903201,7.197567,9.00696366666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.076955,9.953915,7.664474,8.898448
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.90749,9.832689,7.351735,8.69730466666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.834685,9.059914,7.36769,8.08742966666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.029819,10.172935,7.576342,8.92636533333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.207719,8.609317,6.602742,7.80659266666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.717127,10.161739,6.678473,8.519113
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.034933,10.057396,6.384991,8.15910666666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.2904,10.10038,7.353845,8.914875
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.03119,10.045596,6.384991,8.487259
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.258645,8.996559,6.724341,7.99318166666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.366054,9.646767,6.384991,8.132604
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.954517,10.666809,6.384991,9.00210566666667
