"","sample","tissue","endometriosis","severity","p202152_x_at","p214879_x_at","p215737_x_at","USF2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.016504,8.22606,8.280308,8.17429066666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.417465,8.971669,8.312345,8.23382633333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.394279,9.484779,7.899421,8.59282633333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.74612,9.521581,8.392887,8.55352933333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.464103,8.459266,8.035226,7.98619833333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.006725,8.986576,8.176325,8.38987533333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.537799,9.184178,8.871932,8.86463633333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.747627,8.185329,8.245717,8.05955766666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.535235,8.828394,7.665366,8.009665
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.387118,8.993646,8.277764,8.55284266666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.328271,7.292275,7.761183,7.46057633333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.626894,7.587501,8.029214,7.74786966666667
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.995139,9.653068,8.109744,8.58598366666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.373898,8.647806,8.372752,8.46481866666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.222831,8.783696,8.642748,8.54975833333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.501726,8.629883,8.612032,8.58121366666666
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.000852,8.785949,7.525944,8.10424833333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.936362,8.495826,8.075027,8.16907166666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.552172,7.932944,7.503639,7.66291833333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.158558,9.045639,9.413843,9.20601333333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.765064,8.746502,9.12495,8.87883866666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.204936,9.25752,9.336904,9.26645333333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.08062,9.128971,9.542474,9.25068833333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.955463,10.033456,9.972491,9.98713666666667
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.569936,9.534533,9.614444,9.572971
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.078311,10.016321,9.951136,10.015256
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.170746,10.034032,10.243147,10.1493083333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.31189,9.228674,9.380733,9.307099
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.002147,8.928766,9.256661,9.06252466666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.715937,9.526927,9.858091,9.70031833333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.973059,9.819619,10.175118,9.98926533333333
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.363354,9.374143,9.514894,9.41746366666667
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.63333,10.573858,10.671111,10.6260996666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.525432,10.413857,10.42502,10.4547696666667
