"","sample","tissue","endometriosis","severity","p204108_at","p228433_at","NFYA"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.502117,4.028166,5.7651415
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.853146,5.13371,5.993428
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.866285,5.298442,6.5823635
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.225011,5.229742,5.7273765
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.477776,5.344411,6.4110935
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.508983,4.416982,5.9629825
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.898653,4.370884,5.6347685
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.658542,5.786803,6.7226725
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.764975,5.641404,6.2031895
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.930016,4.717199,5.8236075
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.291124,5.796757,7.0439405
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.751956,5.404289,6.5781225
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.798449,3.448866,5.1236575
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.839982,5.298442,6.569212
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.341044,6.301233,6.8211385
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.938552,5.298442,6.118497
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.078192,5.034969,6.0565805
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.277398,4.818299,6.0478485
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.097417,4.945118,6.0212675
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.529847,4.643324,5.0865855
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.555691,5.587628,5.5716595
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.529847,3.878253,4.70405
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.596565,6.100371,6.348468
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.935618,3.749975,4.3427965
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.285674,4.370884,4.828279
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.336824,4.659374,4.998099
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.783168,5.364396,5.073782
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.198919,4.617084,5.9080015
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.195509,5.256009,5.225759
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.623786,5.31471,5.469248
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.425933,3.481249,4.953591
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.837527,4.575799,5.706663
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.567538,4.733113,4.6503255
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.815274,3.636892,4.226083
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.326334,5.028844,6.177589
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.453173,4.370884,4.9120285
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.967689,5.340162,5.6539255
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.890096,4.626531,5.2583135
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.529847,5.364396,5.4471215
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.802334,5.298442,5.550388
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.394293,5.298442,6.3463675
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.905951,5.723863,5.814907
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.168562,4.370884,4.769723
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.543305,3.344215,4.44376
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.986431,2.589108,3.2877695
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.953908,5.364396,5.659152
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.401006,3.850677,4.6258415
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.435016,6.429823,6.4324195
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.343498,3.833994,4.088746
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.451921,4.546366,4.4991435
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.682542,3.314681,3.4986115
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.514863,3.314681,4.414772
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.90606,5.769575,5.8378175
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.747002,4.454393,5.1006975
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.17696,6.193121,6.6850405
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.599441,6.790775,6.695108
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.094828,5.811651,5.9532395
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.730028,5.969765,6.3498965
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.611927,5.518917,6.065422
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.619006,5.292039,5.4555225
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.305167,5.078867,5.192017
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.557414,5.364396,5.960905
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.678409,5.364396,6.0214025
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.166607,6.718056,6.9423315
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.985504,5.765003,6.3752535
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.734162,6.372613,6.5533875
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.877116,5.783519,6.3303175
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.860577,6.544299,7.702438
