"","sample","tissue","endometriosis","severity","p208851_s_at","p208850_s_at","THY1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.615989,7.66632,8.6411545
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.465621,8.556878,9.0112495
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.053135,9.812863,10.432999
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.203178,7.676068,8.439623
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.047786,10.42122,10.734503
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.770146,8.400573,9.0853595
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.33717,7.681898,8.509534
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.781601,9.868446,10.3250235
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.26974,10.684855,10.9772975
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.650937,8.673342,9.1621395
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.674115,10.299321,10.486718
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.839385,8.867413,9.353399
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.110063,7.164601,8.137332
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.175366,11.197195,11.6862805
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.754645,9.751912,10.2532785
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.312897,8.09392,8.7034085
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.922281,7.230075,8.076178
