"","sample","tissue","endometriosis","severity","p208767_s_at","p208029_s_at","LAPTM4B"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.713639,11.392917,10.553278
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.938548,11.961681,11.4501145
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.501732,12.688413,12.0950725
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.337945,12.570395,11.95417
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.456685,12.314034,11.8853595
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.678341,12.626335,12.152338
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.098768,12.59958,11.849174
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.341113,12.759763,12.050438
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.448214,11.783992,11.116103
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.034265,12.454383,11.744324
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.037208,13.312317,12.6747625
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.597083,13.962969,13.280026
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.102733,10.606499,9.854616
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.163623,12.77765,11.9706365
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.802263,12.608699,11.705481
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.592127,12.309504,11.4508155
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.760154,12.309264,11.534709
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.089115,12.524497,11.806806
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.999,11.513148,10.756074
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.924197,11.619799,11.271998
