"","sample","tissue","endometriosis","severity","p203254_s_at","p236132_at","TLN1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.236782,2.997742,5.617262
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.886578,3.451322,5.16895
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.037757,4.08085,5.5593035
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.505564,3.058192,5.781878
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.999999,4.08085,6.5404245
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.771209,4.08085,6.4260295
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.915759,4.08085,5.9983045
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.528945,4.08085,5.8048975
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.561605,4.022634,5.7921195
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.947954,3.631101,6.2895275
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.504284,4.08085,5.792567
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.02752,4.405173,6.2163465
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.646909,4.08085,5.8638795
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.66869,4.08085,6.37477
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.27346,3.345967,5.8097135
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.26827,3.537351,6.4028105
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.422141,3.346998,6.3845695
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.291914,4.08085,6.186382
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.113118,4.08085,6.596984
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.525492,4.08085,6.303171
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.096316,6.104483,6.6003995
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.319208,5.464369,7.3917885
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.729314,5.507051,7.6181825
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.751041,4.08085,6.9159455
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.781798,4.478553,7.1301755
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.868324,5.833811,6.8510675
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.014177,4.290471,5.652324
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.220808,4.151172,6.68599
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.614829,4.29199,6.4534095
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.098004,4.78518,6.441592
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.702882,5.15859,6.430736
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.261874,4.294585,6.7782295
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.773995,4.152403,6.463199
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.724079,5.608856,7.1664675
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.947342,3.701786,4.824564
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.784754,4.599337,5.6920455
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.498611,5.904924,6.7017675
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.471161,4.616901,6.044031
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.551814,5.658065,6.6049395
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.074234,4.08085,6.577542
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.715041,5.989919,6.85248
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.758381,4.851146,7.3047635
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.789129,5.797771,5.29345
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.704653,4.255766,6.4802095
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.385308,5.242194,7.313751
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.988723,5.81143,6.4000765
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.652939,5.326446,6.4896925
