"","sample","tissue","endometriosis","severity","p228620_at","p228714_at","PRKRA-AS1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.152394,2.905918,4.529156
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.801134,2.905918,4.353526
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.343343,2.905918,4.6246305
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.000161,2.610698,3.8054295
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.12334,3.185491,5.1544155
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.455052,2.905918,4.180485
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.020511,2.437832,3.2291715
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.333701,2.62592,4.4798105
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.008009,2.779093,4.393551
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.120658,2.437832,3.779245
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.504164,3.110826,5.307495
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.421255,2.905918,5.1635865
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.76755,2.906013,3.3367815
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.226297,5.013012,6.6196545
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.404652,4.07492,5.739786
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.686872,2.906013,4.7964425
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.443905,2.905918,4.6749115
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.089825,2.62592,3.8578725
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.315547,2.906013,4.61078
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.582632,2.818052,4.200342
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.173764,2.62592,3.899842
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.116105,2.906013,4.011059
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.663302,2.795283,3.7292925
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.070893,2.437832,2.7543625
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.96427,2.437832,3.201051
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.33179,2.824428,3.078109
