"","sample","tissue","endometriosis","severity","p212261_at","p212260_at","GIGYF2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.134844,6.941537,7.5381905
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.544307,7.784257,8.164282
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.399673,6.843597,7.621635
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.230071,7.462658,7.8463645
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.262428,7.328985,7.2957065
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.399505,7.296271,7.847888
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.510078,6.643961,7.5770195
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.763181,7.860902,8.3120415
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.736809,7.798704,7.7677565
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.468479,7.769237,7.618858
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.620162,7.19962,7.909891
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.395508,7.820825,8.1081665
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.416535,6.681179,7.548857
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.857252,7.17461,7.515931
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.002443,6.833011,7.417727
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.144221,7.003479,7.57385
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.936518,6.630594,7.283556
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.163858,7.216179,7.6900185
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.9457,7.088135,7.5169175
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.249967,5.942508,6.5962375
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.738715,6.313803,7.026259
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.92882,5.425331,6.1770755
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.902013,6.054289,6.978151
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.312761,6.376757,6.844759
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.0595,5.489794,6.274647
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.186739,4.869176,6.0279575
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.76914,5.546014,6.657577
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.908486,6.439088,7.173787
