"","sample","tissue","endometriosis","severity","p217100_s_at","p212840_at","UBXN7"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.797813,7.350982,6.0743975
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.560547,6.360668,5.9606075
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.264851,7.364135,5.814493
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.202845,6.9304,6.0666225
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.600181,7.636998,6.6185895
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.165575,6.749263,5.457419
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.093301,7.59992,5.8466105
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.210906,8.059402,6.635154
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.179039,7.242051,5.710545
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.350797,6.388356,5.3695765
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.670551,6.719847,5.695199
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.907446,6.013633,5.4605395
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.892414,8.138389,5.5154015
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.905257,8.188035,6.546646
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.08589,8.257759,6.6718245
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.179688,8.051276,6.615482
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.179039,7.635464,5.9072515
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.934867,6.496225,5.715546
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.880861,7.633575,6.257218
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.235113,6.036439,5.635776
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.871773,4.305161,4.588467
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.79451,4.744519,4.7695145
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.889573,8.512683,6.201128
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.308704,3.656982,3.982843
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.626309,5.676874,4.1515915
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.008904,5.53137,4.270137
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.849604,5.357392,4.103498
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.316887,6.199159,5.258023
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.37925,5.30054,4.339895
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.470202,4.078724,3.774463
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.179039,4.783217,4.481128
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.03226,6.025296,4.528778
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.598698,4.426401,3.5125495
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.607565,5.028401,3.817983
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.07424,6.699607,6.3869235
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.481999,5.598946,4.0404725
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.61063,7.24176,5.426195
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.296542,5.791188,6.043865
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.037518,6.768229,5.4028735
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.579446,6.011363,4.7954045
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.467399,7.707442,6.5874205
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.545696,3.501488,3.523592
