"","sample","tissue","endometriosis","severity","p223307_at","p221436_s_at","CDCA3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.219387,5.72032,6.4698535
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.39203,7.929169,8.1605995
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.049175,4.694907,4.872041
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.799843,2.731367,3.765605
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.546577,6.884999,7.215788
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.049175,2.771659,3.910417
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.799843,4.267312,4.5335775
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.935218,4.760181,5.3476995
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.652993,6.170526,6.9117595
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.154671,3.838319,4.496495
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.629379,4.654312,5.1418455
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.936515,4.968648,5.4525815
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.918651,4.208967,4.563809
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.595455,6.77165,7.1835525
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.647542,6.618772,7.133157
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.644113,2.603342,2.6237275
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.82394,4.208967,4.5164535
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.049175,3.441811,4.245493
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.901929,2.731367,3.816648
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.523339,5.554817,6.539078
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.067271,9.764119,10.415695
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.428353,7.189457,7.808905
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.213345,4.244757,5.229051
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.14672,6.895814,7.521267
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.658084,5.261626,5.959855
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.904406,8.933804,9.419105
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.704838,9.33939,10.022114
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.561228,8.669575,9.1154015
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.188626,4.865709,6.0271675
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.175498,9.19164,9.683569
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.020538,8.768652,9.394595
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.726141,8.670921,9.198531
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.201023,8.227491,8.714257
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.394715,9.925697,10.160206
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.726543,6.298947,7.012745
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.83915,6.391552,7.115351
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.152451,8.685339,9.418895
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.863633,6.387914,7.1257735
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.500815,8.985556,9.7431855
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.406656,4.434862,5.420759
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.018938,7.511245,8.2650915
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.291386,3.648126,4.469756
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.536963,6.402212,7.4695875
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.140405,4.800317,5.470361
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.045293,6.99044,7.5178665
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.709988,9.456316,10.083152
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.196825,9.954342,10.5755835
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.049175,4.224277,4.636726
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.066942,5.130872,6.098907
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.444465,10.173149,10.808807
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.333161,10.276447,10.804804
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.256207,6.945351,7.600779
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.068497,6.652546,7.3605215
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.165623,8.574501,8.870062
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.394499,9.074076,9.7342875
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.601205,7.974445,8.787825
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.770189,7.277833,8.024011
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.887108,5.154326,6.020717
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.165982,5.585514,6.375748
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.632825,7.930384,8.7816045
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.45894,7.413708,7.936324
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.448397,6.246053,6.847225
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.195065,4.54473,5.3698975
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.840871,3.379002,4.1099365
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.701306,8.735369,9.2183375
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.816664,6.679057,7.2478605
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.414878,8.951483,9.1831805
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.602696,8.481595,9.0421455
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.987917,7.581967,8.284942
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.381733,7.157078,7.7694055
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.412522,3.676389,4.5444555
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.096013,4.214137,5.155075
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.812532,7.445863,8.1291975
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.708391,7.78444,8.2464155
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.366243,8.27668,8.8214615
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.032359,3.024404,4.0283815
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.192834,7.063562,7.628198
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.049175,3.815301,4.432238
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.47993,6.202349,6.8411395
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.106641,4.404991,5.255816
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.580149,8.05993,8.8200395
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.276658,8.027017,8.6518375
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.557805,5.746198,6.1520015
