"","sample","tissue","endometriosis","severity","p36994_at","p200954_at","ATP6V0C"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.783624,9.07087,9.927247
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.944269,9.059355,10.001812
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.389077,8.894427,9.641752
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.597455,9.782976,10.6902155
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.074029,9.245981,10.160005
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.812254,10.025226,10.91874
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.056872,9.345575,10.2012235
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.967287,8.572835,9.770061
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.994881,8.998931,9.996906
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.711637,9.948576,10.8301065
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.801398,8.821843,9.8116205
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.000158,8.935808,9.967983
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.988706,9.162975,10.0758405
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.036838,8.83865,9.937744
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.167424,9.205068,10.186246
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.476136,9.439293,10.4577145
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.760467,9.835858,10.7981625
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.717415,9.764384,10.7408995
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.145297,9.300435,10.222866
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.970165,10.770601,11.870383
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.428731,10.287009,11.35787
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.208652,11.301749,12.2552005
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.890715,10.822902,11.8568085
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.346302,11.385418,12.36586
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.401151,11.597039,12.499095
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.168989,11.229311,12.19915
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.987869,10.872865,11.930367
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.769021,10.707559,11.73829
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.660858,10.724903,11.6928805
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.847488,10.707216,11.777352
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.742615,10.607101,11.674858
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.797918,10.846967,11.8224425
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.416927,11.448032,12.4324795
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.29834,11.49223,12.395285
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.266555,9.090338,10.1784465
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.952667,10.705303,11.828985
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.667986,10.53329,11.600638
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.531813,10.30128,11.4165465
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.429573,10.307487,11.36853
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.293434,11.299633,12.2965335
