"","sample","tissue","endometriosis","severity","p209435_s_at","p207629_s_at","ARHGEF2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.803832,6.126684,7.465258
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.810867,6.451293,7.63108
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.578136,7.052882,7.815509
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.204824,6.714321,7.9595725
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.263695,7.218074,8.2408845
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.16062,6.995272,8.077946
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.381987,7.596786,8.4893865
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.358872,6.70207,8.030471
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.716529,6.45229,7.5844095
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.180335,6.924971,8.052653
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.465582,6.37965,7.422616
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.007299,6.626185,7.816742
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.606356,6.737741,8.1720485
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.05488,6.461928,7.758404
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.783875,6.10737,7.4456225
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.350854,6.877756,8.114305
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.114562,6.53481,7.824686
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.577037,6.49078,7.5339085
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.918843,6.585919,7.752381
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.830754,7.197142,8.513948
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.310987,6.656011,7.983499
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.981697,7.402696,8.6921965
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.971531,7.586323,9.278927
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.057916,7.432754,8.745335
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.37237,7.769996,9.071183
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.659337,7.294817,8.477077
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.580029,6.302354,7.9411915
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.889908,7.110541,8.5002245
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.931937,6.897281,8.414609
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.084777,7.389933,8.737355
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.366431,6.934712,8.6505715
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.093333,7.665039,8.879186
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.845339,7.398604,8.6219715
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.842657,7.408808,8.6257325
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.590368,6.103349,7.3468585
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.894093,7.598699,8.746396
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.115754,7.287121,8.7014375
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.03974,5.510334,7.275037
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.831604,6.26344,8.047522
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.93788,7.16079,8.549335
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.083685,6.47081,8.2772475
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.179207,8.712326,9.9457665
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.051281,6.192733,8.122007
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.579284,6.280413,7.9298485
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.128142,7.651951,8.8900465
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.269706,5.917011,7.5933585
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.695949,6.379847,8.037898
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.000205,7.894074,9.4471395
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.649581,7.257204,8.4533925
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.880486,4.985628,6.933057
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.556198,5.924579,7.7403885
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.613514,6.605213,8.1093635
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.458581,6.894873,8.176727
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.936701,7.425791,8.681246
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.554075,6.77508,8.1645775
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.478545,4.814421,6.646483
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.976104,6.036251,7.5061775
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.097271,6.598769,7.84802
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.974019,6.403885,7.688952
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.325491,6.29469,7.8100905
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.015698,6.70156,7.858629
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.563481,6.967862,8.2656715
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.371945,6.420653,7.896299
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.904533,6.669641,8.287087
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.265364,5.54672,6.906042
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.79946,7.263431,8.5314455
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.562505,7.010358,8.2864315
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.478396,5.715249,7.0968225
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.227299,6.455127,7.341213
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.491249,6.630912,7.5610805
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.206829,6.984955,8.095892
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.576075,6.525554,7.5508145
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.445498,6.42435,7.434924
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.395191,5.788837,7.092014
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.143512,5.869029,7.0062705
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.485225,5.874137,7.179681
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.394567,6.34939,7.3719785
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.7692,6.253266,7.511233
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.64181,6.573847,7.6078285
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.388729,5.868824,7.6287765
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.338203,6.258487,7.298345
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.36994,6.068,7.21897
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.005411,7.441408,8.7234095
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.98974,6.44364,7.71669
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.978577,6.346992,7.6627845
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.655584,7.115101,8.3853425
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.030742,6.460748,8.245745
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.094223,7.516156,8.8051895
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.375264,7.054744,8.215004
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.837483,7.031156,8.4343195
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.329382,7.033435,8.1814085
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.295609,7.033283,8.664446
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.125781,8.579442,9.8526115
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.314574,6.448268,7.881421
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.424403,6.293227,7.858815
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.117035,6.612921,8.364978
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.910154,6.827901,8.3690275
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.104046,7.155546,8.629796
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.632904,6.295377,7.9641405
