"","sample","tissue","endometriosis","severity","p203232_s_at","p203231_s_at","ATXN1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.60585,8.752305,10.1790775
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.454456,9.138347,10.2964015
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.174775,9.577112,10.3759435
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.550897,7.418767,8.984832
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.667022,9.7621,10.714561
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.559396,8.10931,9.334353
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.502446,7.553172,8.527809
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.63012,9.102656,10.366388
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.22742,9.957228,10.592324
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.40311,7.109123,8.7561165
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.155576,8.235619,9.6955975
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.281902,9.29575,10.288826
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.062691,7.452701,8.757696
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.897018,9.327905,10.1124615
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.917769,10.357961,11.137865
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.741062,9.622641,10.1818515
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.842265,8.704643,9.773454
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.702494,8.76078,9.731637
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.161564,8.339019,9.2502915
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.29589,7.019737,8.1578135
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.215849,4.513678,7.3647635
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.332397,4.392329,6.862363
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.372397,6.828812,8.1006045
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.780106,6.529667,8.1548865
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.556064,3.223965,5.8900145
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.213457,7.077781,8.145619
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.80939,4.927973,6.8686815
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.692799,4.408123,7.050461
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.321051,5.830352,8.0757015
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.136809,3.291661,6.214235
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.735029,3.063007,5.899018
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.028014,8.861006,9.44451
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.327627,4.385012,6.3563195
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.485896,7.206657,8.3462765
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.208502,8.968891,10.0886965
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.241836,5.75682,7.499328
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.585388,5.722619,7.6540035
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.856282,7.398125,9.1272035
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.883333,7.587842,8.7355875
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.055493,6.434122,7.7448075
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.694329,7.764511,8.72942
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.368357,5.112282,7.2403195
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.812021,5.794226,7.8031235
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.049941,4.443759,7.24685
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.979392,6.354307,7.6668495
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.940907,5.375702,7.6583045
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.5338,4.006097,6.2699485
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.676105,4.532922,7.1045135
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.526718,6.997913,8.2623155
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.231585,7.13391,8.1827475
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.789319,7.13391,8.4616145
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.222379,5.291176,7.2567775
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.696998,5.038926,7.367962
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.296219,6.416938,7.3565785
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.013229,6.208715,8.110972
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.10719,8.486974,9.797082
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.578957,4.034938,6.8069475
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.682866,5.509015,7.5959405
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.800036,5.780106,8.290071
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.402423,6.003405,8.202914
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.642322,9.006414,9.824368
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.373567,4.500394,7.4369805
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.663248,8.281889,9.4725685
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.836394,9.11795,9.977172
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.351444,8.567346,9.959395
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.586017,4.034938,6.8104775
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.837549,8.526029,9.181789
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.871248,7.65429,9.262769
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.740107,9.256725,10.498416
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.884518,6.565481,8.7249995
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.963408,10.230348,11.096878
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.48296,9.082178,10.282569
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.427354,9.181095,10.3042245
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.362917,8.977506,10.1702115
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.694691,10.104698,10.8996945
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.182524,7.13391,9.158217
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.568479,8.156,9.3622395
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.001574,7.85514,9.428357
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.712692,10.030623,10.8716575
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.005626,9.20937,10.107498
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.899689,8.116405,9.508047
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.86881,7.303921,9.0863655
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.867329,5.662204,7.7647665
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.292129,8.646091,9.46911
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.556927,7.13391,8.8454185
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.580939,4.467362,7.0241505
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.200974,6.939704,8.070339
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.433517,6.472117,7.952817
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.953066,8.518749,9.7359075
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.57754,4.963017,7.2702785
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.747504,7.911304,8.829404
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.084543,7.761606,8.9230745
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.681356,6.286536,7.983946
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.633035,8.329232,9.4811335
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.52598,4.590324,7.058152
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.710933,7.815716,9.2633245
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.224496,7.91326,9.068878
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.646582,5.099633,7.3731075
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.08927,7.934989,9.0121295
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.877312,4.718875,7.2980935
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.474376,7.908136,9.191256
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.229608,5.505488,7.867548
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.410989,4.137228,7.2741085
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.218086,5.75682,7.487453
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.864787,5.518054,7.6914205
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.505974,5.852667,8.1793205
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.569103,7.709378,9.1392405
