"","sample","tissue","endometriosis","severity","p215618_at","p230490_x_at","RSU1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.234325,8.466498,5.8504115
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.874946,7.223583,5.5492645
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.018993,7.602608,5.8108005
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.874946,8.332964,6.103955
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.857515,7.580896,5.7192055
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.874946,8.429457,6.1522015
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.874946,8.27011,6.072528
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.874946,7.426695,5.6508205
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.786671,7.4654,5.6260355
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.963988,8.274796,5.619392
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.796468,8.981516,6.388992
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.874946,9.244938,6.559942
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.874946,8.705912,6.290429
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.874946,8.228554,6.05175
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.325865,7.825809,5.575837
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.874946,8.696664,6.285805
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.261359,8.325979,5.793669
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.874946,9.069889,6.4724175
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.384481,9.668198,6.5263395
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.874946,7.273193,5.5740695
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.102193,6.847956,4.9750745
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.925705,7.376289,5.650997
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.41328,7.675851,6.0445655
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.874946,6.760089,5.3175175
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.895772,6.973854,5.434813
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.423151,6.946815,5.684983
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.740963,7.572862,6.1569125
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.874946,7.031298,5.453122
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.286913,7.047716,5.6673145
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.215697,6.423849,5.319773
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.605382,6.940059,5.7727205
