"","sample","tissue","endometriosis","severity","p242442_x_at","p230243_at","TRMT10A"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.837263,5.63182,4.7345415
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,4.82454,3.5303035
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,4.188215,3.212141
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,4.338895,3.287481
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,4.349424,3.2927455
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,4.188215,3.212141
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,4.64525,3.4406585
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,4.662494,3.4492805
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.638515,4.145141,3.391828
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.977667,4.145141,3.561404
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.851099,4.083395,3.467247
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.673463,3.878028,3.2757455
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.478316,5.028144,4.25323
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.334672,4.297506,3.316089
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.381859,4.776905,4.079382
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.908994,5.14663,4.027812
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.83259,5.409385,4.6209875
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.622791,4.882424,4.2526075
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.26974,5.597278,4.433509
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.341507,3.481094,3.4113005
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.837263,4.485118,4.1611905
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.83259,4.188215,4.0104025
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.837263,4.12011,3.9786865
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.926074,4.188215,3.5571445
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,4.181478,3.2087725
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.837263,4.145141,3.991202
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.622791,4.188215,3.905503
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.622791,4.188215,3.905503
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.975065,4.219797,4.097431
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.856749,4.188215,3.522482
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.749792,4.145141,3.9474665
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.83259,4.078214,3.955402
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,4.188215,3.212141
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.577989,4.12011,3.3490495
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.010615,6.075356,5.5429855
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.417151,3.967365,3.692258
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.83259,3.606395,3.7194925
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.212302,5.010696,4.611499
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.83259,4.12011,3.97635
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.837263,3.452001,3.644632
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.371459,4.12011,4.2457845
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.421977,3.618837,3.020407
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.781701,3.597526,3.6896135
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.793849,4.202577,4.498213
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.277366,3.121987,3.1996765
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.50963,3.939055,3.7243425
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.491649,4.145141,3.818395
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.830586,3.725137,3.7778615
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.834593,4.188215,4.011404
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.83259,4.12011,3.97635
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.622506,4.188215,3.9053605
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.179611,4.178532,3.6790715
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.406679,4.058526,3.7326025
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.611375,4.549184,4.0802795
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.825775,4.145141,3.485458
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.974167,4.9425,4.4583335
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.622791,4.191284,3.9070375
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.136911,4.503569,4.32024
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.171938,5.843627,5.0077825
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.547143,5.154899,4.851021
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.594799,4.367177,4.480988
