"","sample","tissue","endometriosis","severity","p1557966_x_at","p1557965_at","MTERF4"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.648299,7.850649,7.749474
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.481821,7.87909,7.6804555
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.489346,7.913439,7.7013925
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.620536,8.309458,7.964997
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.020187,8.770555,8.395371
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.324237,8.297118,7.8106775
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.234211,7.931988,7.5830995
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.038072,8.749348,8.39371
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.026456,8.557197,8.2918265
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.19386,8.723506,8.458683
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.523792,8.605041,8.0644165
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.160558,8.79488,8.477719
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.529495,7.997895,7.763695
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.481821,7.888607,7.685214
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.645685,8.183264,7.9144745
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.592396,8.24094,7.916668
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.455338,8.428577,7.9419575
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.481821,8.481759,7.98179
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.611401,8.328727,7.970064
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.233286,7.826416,7.529851
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.155354,7.67983,7.417592
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.148178,7.729856,7.439017
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.73515,7.173775,6.9544625
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.481821,8.1311,7.8064605
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.55141,7.482532,7.016971
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.169689,6.743973,6.456831
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.196761,6.705628,6.4511945
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.481821,8.115771,7.798796
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.760756,7.540273,7.1505145
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.446909,7.378828,6.9128685
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.481821,8.000437,7.741129
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.045199,7.284367,7.164783
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.9714,7.237616,6.604508
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.157534,7.261718,6.709626
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.075112,8.564803,8.3199575
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.605033,8.032907,7.81897
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.123568,7.772881,7.4482245
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.481821,8.189406,7.8356135
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.481821,7.772881,7.627351
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.920911,7.415154,7.1680325
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.438399,7.861177,7.649788
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.417233,7.206263,6.811748
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.127715,7.46228,7.2949975
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.022778,8.193905,7.6083415
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.066762,7.953575,7.5101685
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.615896,8.30532,7.960608
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.73775,7.760356,7.249053
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.761771,7.036983,6.899377
