"","sample","tissue","endometriosis","severity","p1553407_at","p207358_x_at","p208633_s_at","p208634_s_at","p215222_x_at","p214894_x_at","MACF1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.273485,9.239099,7.575192,9.993254,8.987123,9.743096,8.4685415
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.001284,8.534706,8.86148,10.155896,9.338478,10.165847,8.67628183333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.506028,9.949723,10.166936,11.298382,10.802969,11.796789,9.92013783333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.273485,9.287552,9.409257,10.890765,9.702911,10.439552,9.16725366666667
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.092266,9.686273,9.000346,10.559615,9.855018,10.612841,9.13439316666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.273485,10.176489,8.910138,10.775198,9.571507,10.146864,9.14228016666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.623979,9.119495,9.081251,10.71026,9.922928,10.633442,9.34855916666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.273485,9.79817,9.197244,11.330268,9.788442,10.755118,9.35712116666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.273485,10.243864,9.528743,10.615643,9.807014,10.506988,9.3292895
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.273485,9.76942,9.011627,10.294029,9.679031,10.058378,9.01432833333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.273485,10.364807,9.266201,10.448882,9.920716,10.274642,9.25812216666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.273485,10.5729,9.283114,10.696005,9.729721,10.571076,9.3543835
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.876522,9.629039,8.540222,10.210329,9.574362,10.443002,9.04557933333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.273485,10.045975,9.77076,11.333684,10.38477,11.451327,9.71000016666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.179127,9.798116,8.926698,10.959155,9.772121,10.888307,9.25392066666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.39128,9.984302,9.464176,11.047607,10.277255,10.934357,9.51649616666667
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.623492,10.431375,9.434775,11.216422,10.172511,11.130729,9.66821733333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.273485,9.982939,9.136546,10.530519,9.816972,10.031212,9.12861216666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.385846,10.075261,8.754089,10.227232,9.640708,10.196933,9.04667816666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.818034,7.797974,5.181729,9.172309,6.401331,7.249688,6.93684416666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.149399,7.372778,4.542629,8.931213,6.282195,6.155432,6.40560766666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.255001,7.708137,5.198065,8.544337,6.544496,7.019503,6.71158983333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.277466,9.166782,6.288097,9.049256,7.632571,8.540656,7.659138
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.273485,7.204442,4.853367,8.734866,6.340775,6.953092,6.5600045
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.273485,7.489463,4.857245,8.805479,6.593048,7.161277,6.69666616666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.213682,7.21344,5.083185,7.863395,5.844016,6.566062,6.29729666666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.651109,7.493007,3.56977,7.98648,6.346844,7.068106,6.185886
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.273485,8.303746,6.081814,9.429559,7.398731,7.935905,7.40387333333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.273485,7.978157,5.195954,9.14977,6.823081,7.175523,6.93266166666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.899715,8.061969,4.746389,8.58643,6.399402,6.791666,6.5809285
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.58044,7.528363,5.16976,8.069369,6.647433,7.129941,6.52088433333333
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.273485,8.381865,5.674428,9.663081,7.073524,7.776281,7.30711066666667
