"","sample","tissue","endometriosis","severity","p224451_x_at","p226906_s_at","p232543_x_at","ARHGAP9"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.016265,4.761751,4.480775,5.08626366666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.243927,5.414625,4.445316,4.70128933333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.203474,5.878283,6.432961,6.17157266666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.892499,4.767864,4.792097,5.15082
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.060989,5.130405,4.571883,4.92109233333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.415774,4.615945,4.8911,4.974273
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.709624,5.440621,4.53564,5.22862833333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.118928,5.417641,5.771901,6.10282333333333
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.997021,3.744102,4.44902,4.39671433333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.147263,7.588032,8.124103,8.286466
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.865629,4.608878,4.445316,4.639941
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.195568,4.327469,4.624293,5.04911
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.735001,5.402306,5.437734,5.52501366666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.498552,4.461437,4.485908,4.48196566666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.578226,4.135905,4.553883,4.42267133333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.385468,5.255708,4.841105,5.49409366666667
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.22889,4.895427,5.015022,5.37977966666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.053637,4.912236,4.580439,5.182104
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.21136,5.415106,5.126702,5.58438933333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.90563,6.438105,7.783977,7.70923733333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.086499,4.509799,5.116453,5.570917
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.634817,8.289891,9.676349,9.53368566666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.118839,8.509295,10.187502,9.93854533333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.311723,8.041437,9.686189,9.34644966666667
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.327648,7.179014,8.33004,8.27890066666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.180039,6.377616,7.216632,7.25809566666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.457236,5.778262,6.061766,6.43242133333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.570958,4.86447,4.615847,5.350425
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.962737,8.578312,10.138889,9.89331266666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.963262,5.417315,6.595477,6.65868466666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.912095,5.402306,6.928676,6.74769233333333
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.500547,5.868101,6.713737,6.69412833333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.342679,6.095423,7.14374,7.19394733333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.74395,6.444807,6.738577,6.975778
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.124348,4.810426,4.717355,5.21737633333333
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.666976,7.268423,8.78172,8.572373
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.152387,5.394044,6.004583,6.18367133333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.193318,4.273647,4.804652,5.090539
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.12408,5.417641,6.894857,6.81219266666667
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.742927,5.618616,6.951574,6.771039
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.650802,5.402306,4.475395,5.509501
