"","sample","tissue","endometriosis","severity","p206488_s_at","p209555_s_at","p228766_at","CD36"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.815892,9.495397,9.232159,9.51448266666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.605036,8.756066,9.294549,9.55188366666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.61632,3.743575,3.199539,3.51981133333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.19357,8.97111,8.807969,8.990883
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.81722,7.705744,8.955574,8.82617933333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.043078,6.818545,6.65225,7.171291
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.082385,6.622023,7.54881,7.084406
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.61632,3.088906,2.584322,3.096516
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.876436,6.37871,6.460577,6.905241
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.16728,7.196865,6.157618,7.173921
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.61632,2.542736,2.264725,2.807927
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.61632,2.542736,3.353302,3.170786
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.638257,5.566608,5.246733,5.15053266666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.608409,3.201778,3.513072,3.77441966666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.87718,8.893331,8.823238,9.19791633333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.483077,7.795156,7.585558,7.28793033333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.026574,6.911689,6.705902,6.88138833333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.481026,5.024393,3.353302,4.61957366666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.61632,3.455585,2.264725,3.11221
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.198656,6.95638,6.208267,6.45443433333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.360041,10.089361,9.29926,9.91622066666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.209911,9.011159,8.798981,9.00668366666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.61632,3.455585,2.455409,3.17577133333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.562567,5.747016,3.969686,5.09308966666667
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.241762,5.978235,5.883736,6.03457766666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.646815,7.751822,7.832136,7.07692433333333
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.61632,3.455585,3.353302,3.475069
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.921044,5.005545,6.225037,5.71720866666667
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.187859,9.038739,8.747516,8.32470466666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.132763,3.088906,2.786979,3.00288266666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.61632,2.577845,3.062164,3.085443
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.816279,3.687702,3.851148,3.785043
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.132763,2.236067,2.412485,2.59377166666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.578297,5.147777,5.680485,5.468853
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.162555,10.054891,10.113583,10.4436763333333
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.265911,8.628155,6.207086,7.700384
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.61632,4.930789,4.611274,4.38612766666667
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.069931,8.17599,6.53758,7.59450033333333
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.61632,3.088906,3.353302,3.35284266666667
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.979691,7.827824,7.825349,7.544288
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.61632,3.907104,2.309302,3.27757533333333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.0283,2.542736,2.309302,2.96011266666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.504494,7.838528,7.977958,7.77366
