"","sample","tissue","endometriosis","severity","p209600_s_at","p213501_at","ACOX1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.029036,5.707549,6.3682925
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.879693,4.581719,5.730706
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.630759,3.910779,5.270769
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.598267,4.581719,5.589993
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.286089,5.077713,5.681901
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.726181,4.738836,5.7325085
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.958291,4.706996,5.3326435
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.616966,4.216014,5.41649
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.648539,5.240973,5.944756
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.307489,4.581719,5.944604
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.263482,5.470966,6.367224
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.442757,5.546048,5.9944025
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.069654,3.702882,5.386268
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.009372,5.316826,6.163099
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.652264,6.214386,6.933325
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.656724,5.696749,6.6767365
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.197681,5.038523,6.118102
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.607213,5.704282,6.6557475
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.684842,5.764729,6.7247855
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.048886,3.974582,5.011734
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.714865,3.574358,4.6446115
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.707763,3.48041,4.5940865
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.522526,2.442592,3.982559
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.736158,2.920571,4.3283645
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.195888,2.236067,3.2159775
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.421226,2.731741,4.0764835
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.965468,2.236067,3.6007675
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.395947,4.570764,5.4833555
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.330362,3.468942,4.399652
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.177703,3.22951,4.2036065
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.187972,2.731741,3.9598565
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.365606,3.237418,4.301512
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.379013,2.236067,3.30754
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.728669,2.392658,3.0606635
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.200166,6.252439,7.2263025
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.602151,4.071153,5.336652
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.911423,3.313857,4.11264
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.759342,4.978361,5.8688515
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.557465,2.810153,4.183809
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.644309,2.731741,3.688025
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.430944,3.48041,4.955677
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.900631,3.250778,4.5757045
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.330022,2.236067,3.7830445
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.884516,3.550759,4.7176375
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.565584,2.54641,4.055997
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.15846,2.980533,4.5694965
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.101279,3.013215,3.557247
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.514783,2.236067,3.875425
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.989549,2.776726,3.8831375
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.269127,2.976383,4.122755
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.328684,2.276175,3.8024295
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.055664,3.556065,4.8058645
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.537663,2.731741,4.134702
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.383809,3.778379,4.581094
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.091162,3.623382,4.857272
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.200887,4.502739,5.851813
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.887722,2.731741,4.3097315
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.648881,3.757467,5.203174
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.224585,5.779785,6.502185
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.384328,4.243081,5.3137045
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.814526,4.254185,5.5343555
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.907731,4.746925,5.827328
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.657988,4.825388,5.741688
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.514872,4.582134,5.548503
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.208124,5.090415,6.1492695
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.371125,3.635849,4.503487
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.411183,3.864514,5.1378485
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.958249,6.1424,7.0503245
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.053095,6.94741,7.5002525
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.479158,6.253258,6.866208
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.768547,6.685726,7.2271365
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.357927,6.394155,6.876041
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.439751,6.249502,6.8446265
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.514738,6.138204,6.826471
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.877475,6.814293,7.345884
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.590647,5.88982,6.7402335
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.955683,6.852089,7.403886
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.123877,6.849857,7.486867
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.016328,6.788101,7.4022145
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.961256,6.793796,7.877526
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.281598,7.058577,7.6700875
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.88101,6.981402,7.431206
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.891972,4.458088,5.17503
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.194656,5.392919,6.2937875
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.683097,4.727353,5.705225
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.960152,3.556065,4.7581085
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.205752,2.899229,4.0524905
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.728694,3.503666,4.61618
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.202134,4.598776,5.400455
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.032678,3.992998,5.012838
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.82786,4.848217,5.8380385
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.271138,2.236067,3.7536025
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.549546,3.127975,4.3387605
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.544156,4.581719,5.5629375
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.094176,2.731741,4.4129585
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.635629,4.192143,5.413886
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.928822,3.556065,4.7424435
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.442757,3.48041,4.9615835
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.46717,3.48041,4.47379
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.647408,2.795676,4.221542
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.381279,4.499735,5.440507
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.691866,4.64724,5.669553
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.061556,3.48041,4.770983
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.830248,2.427517,4.1288825
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.126179,3.625689,4.875934
