"","sample","tissue","endometriosis","severity","p212230_at","p209355_s_at","PLPP3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.682555,11.19247,10.9375125
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.39734,10.979114,10.188227
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.844431,10.695683,10.270057
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.169478,12.250948,11.710213
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.534729,10.515685,10.525207
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.813391,11.800622,11.3070065
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.975004,11.943373,10.9591885
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.863529,11.041822,10.4526755
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.416263,10.694432,10.0553475
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.992656,10.307245,10.1499505
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.712742,10.513303,10.1130225
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.900616,10.302647,10.1016315
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.783438,10.274282,10.02886
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.615124,9.94405,9.779587
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.018063,11.303498,10.6607805
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.204479,12.106641,11.65556
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.408686,12.301557,11.8551215
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.013422,11.98004,11.496731
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.769134,11.906887,11.3380105
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.334434,9.264927,9.2996805
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.122794,6.946834,8.034814
