"","sample","tissue","endometriosis","severity","p225880_at","p230241_at","TOR1AIP2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.504394,4.231414,6.367904
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.769721,3.470986,5.6203535
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.678465,3.72221,5.7003375
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.027707,3.521075,6.274391
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.184865,3.959572,6.0722185
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.077887,4.84502,6.9614535
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.701129,3.496205,6.098667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.750697,3.652101,5.701399
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.022031,3.826823,5.924427
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.016886,4.289713,6.6532995
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.919797,4.412233,6.166015
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.762625,3.87775,5.8201875
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.240931,3.924151,6.082541
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.981481,5.129898,6.5556895
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.358476,4.231414,6.294945
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.497805,5.263523,7.380664
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.832447,5.590806,7.7116265
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.221022,3.893538,6.55728
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.973291,4.733648,6.8534695
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.239669,4.278814,6.7592415
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.439289,4.231414,6.3353515
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.184144,3.948878,6.566511
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.728497,5.528556,7.1285265
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.726186,3.6927,6.209443
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.356398,3.660555,6.0084765
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.491903,3.496205,5.494054
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.567166,3.268533,4.9178495
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.082082,4.501356,6.291719
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.825398,3.652101,6.2387495
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.750697,3.70515,5.7279235
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.2483,3.734317,5.4913085
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.005159,4.513636,6.2593975
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.336285,3.496205,4.916245
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.447898,3.807132,5.127515
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.059985,4.957583,7.008784
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.987047,4.195281,6.591164
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.750697,3.515695,5.633196
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.051053,5.541728,7.2963905
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.003791,3.652101,5.827946
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.452051,3.652101,6.052076
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.895701,4.94059,6.9181455
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.957395,3.551733,5.754564
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.811149,4.184156,5.9976525
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.709645,5.693715,7.70168
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.666509,4.386357,6.526433
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.163596,5.149498,6.656547
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.827411,3.268533,5.047972
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.822733,5.748271,7.285502
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.616979,3.683679,6.150329
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.088529,3.268533,5.178531
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.202354,3.496205,5.3492795
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.722091,3.652101,5.687096
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.885287,4.367232,6.1262595
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.660495,3.818086,5.7392905
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.336282,4.515318,6.4258
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.063321,5.652024,7.3576725
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.91068,3.653142,5.781911
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.375373,5.372388,7.3738805
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.800312,6.676219,8.2382655
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.485885,3.601418,6.0436515
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.323403,4.199807,6.261605
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.638145,4.993565,6.815855
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.60223,6.330286,7.966258
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.228447,7.059475,8.143961
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.166744,5.611506,7.389125
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.061861,3.847975,5.954918
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.735805,3.964458,5.8501315
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.49912,6.513396,8.006258
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.413558,6.299743,7.8566505
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.160966,6.147241,7.6541035
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.334536,6.656769,7.9956525
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.701122,5.934357,7.8177395
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.851648,5.445621,7.1486345
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.254051,6.557074,7.9055625
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.724235,7.313196,8.5187155
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.901328,6.515608,8.208468
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.15844,6.215011,7.6867255
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.890637,7.085238,8.4879375
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.303204,7.152357,8.2277805
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.499516,5.214524,7.35702
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.320341,7.300361,8.310351
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.116078,6.316123,7.7161005
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.470577,4.263712,6.3671445
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.268654,5.898611,7.5836325
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.036267,4.874624,6.4554455
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.079086,4.45208,6.765583
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.629349,3.652101,5.640725
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.805838,4.191727,6.4987825
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.921727,5.798344,7.3600355
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.147629,4.381231,6.26443
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.884772,4.584463,6.7346175
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.80839,3.887232,5.847811
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.455182,4.328951,6.3920665
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.589577,5.654609,7.622093
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.178469,4.299518,6.7389935
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.760403,5.920739,7.340571
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.043301,5.01322,7.0282605
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.256997,4.604042,6.9305195
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.140076,3.810361,5.9752185
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.74576,4.401251,6.5735055
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.18065,5.412893,6.7967715
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.936813,5.291344,7.1140785
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.582045,6.089053,7.835549
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.622689,3.496205,5.559447
