"","sample","tissue","endometriosis","severity","p214782_at","p214073_at","CTTN"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.575948,5.127816,4.351882
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.095865,4.422322,3.7590935
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.158097,3.68253,4.4203135
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.444779,3.272231,3.858505
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.575948,3.482331,3.5291395
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.30009,3.210092,3.755091
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.575948,3.167337,3.3716425
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.575948,2.574202,3.075075
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.374462,4.075078,3.72477
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.354888,3.493687,3.9242875
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.141163,3.202016,3.6715895
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.311895,3.708671,3.510283
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.629246,5.127816,5.378531
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.263422,3.190063,3.7267425
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.305103,3.436812,3.8709575
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.938362,3.341451,4.6399065
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.349983,4.35816,5.3540715
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.816916,3.167337,3.9921265
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.019385,4.752928,4.8861565
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.190752,8.267748,7.72925
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.712465,8.170794,6.9416295
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.65261,8.769605,7.7111075
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.935759,9.131994,8.5338765
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.040449,8.230937,6.635693
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.751314,7.905592,7.828453
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.434284,9.817471,9.1258775
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.349983,8.969054,7.6595185
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.287351,6.822578,6.5549645
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.568677,8.848469,8.208573
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.302722,8.944863,8.1237925
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.256494,8.481832,7.869163
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.753933,7.129465,6.941699
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.725538,7.892415,7.8089765
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.604468,8.994035,7.7992515
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.205196,7.59524,6.900218
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.922011,8.715816,8.3189135
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.523854,8.236888,7.880371
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.077654,8.400746,7.2392
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.664818,8.761366,7.713092
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.513521,9.650084,9.0818025
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.796968,8.297547,8.5472575
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.849934,8.977308,7.413621
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.809748,9.932196,8.370972
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.212675,8.452719,7.832697
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.504862,9.020319,7.7625905
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.349983,8.932364,7.6411735
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.65222,9.468867,7.5605435
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.147766,9.681293,8.9145295
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.979184,9.75753,8.868357
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.569368,10.560594,9.064981
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.606564,8.963205,7.7848845
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.418945,9.683977,8.051461
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.070226,9.010874,8.04055
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.258724,6.09529,7.177007
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.349983,6.784741,6.567362
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.765331,7.709271,6.737301
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.106284,7.451766,7.279025
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.112533,7.565144,6.8388385
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.771077,6.989278,5.8801775
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.077654,8.818486,7.44807
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.835487,9.125896,7.9806915
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.575948,7.35199,5.463969
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.910473,7.381636,7.1460545
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.398161,6.981571,7.189866
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.78599,6.283064,5.534527
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.349983,6.175315,6.262649
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.028683,7.031869,5.530276
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.617941,6.284726,5.4513335
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.240456,6.328829,5.2846425
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.36771,4.727695,5.0477025
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.946721,6.325555,5.636138
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.428455,7.103841,6.266148
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.241597,5.127816,5.1847065
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.261716,6.205283,5.7334995
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.118825,6.545386,5.3321055
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.011907,7.676146,6.3440265
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.082211,6.784783,5.433497
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.48809,6.65623,5.07216
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.575948,6.94268,5.259314
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.145991,8.376973,7.261482
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.07623,6.287907,4.6820685
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.198369,6.469921,4.834145
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.349983,6.395815,6.372899
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.027333,7.848022,6.9376775
