"","sample","tissue","endometriosis","severity","p208784_s_at","p214383_x_at","KLHDC3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.599605,7.463784,7.5316945
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.671896,8.586557,8.1292265
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.267008,7.28988,6.778444
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.899901,8.262224,8.0810625
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.771609,8.099434,7.9355215
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.68698,7.787225,7.7371025
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.974308,7.785999,7.8801535
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.899901,7.740764,7.8203325
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.899901,8.1354,8.0176505
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.899901,7.73573,7.8178155
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.471454,7.644229,7.5578415
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.252696,7.735809,7.4942525
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.306172,8.01111,7.658641
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.814102,7.876509,7.8453055
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.790266,7.888181,7.8392235
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.899901,8.203305,8.051603
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.899901,8.242852,8.0713765
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.547001,7.198929,7.372965
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.309986,7.343576,7.326781
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.268614,9.172397,8.7205055
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.047049,8.967598,8.5073235
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.717452,9.436762,9.077107
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.557596,8.895094,8.726345
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.330657,9.662985,9.496821
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.530862,9.53297,9.031916
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.090821,9.736254,9.4135375
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.931316,9.489782,9.210549
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.568063,9.324713,8.946388
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.862719,9.12828,8.9954995
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.172319,9.461245,9.316782
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.842591,9.06861,8.9556005
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.89151,9.443446,9.167478
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.637114,10.263406,9.95026
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.906276,10.669708,10.287992
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.292996,7.570708,7.431852
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.064621,8.380703,8.222662
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.466065,9.272399,8.869232
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.595927,8.026661,7.811294
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.075343,8.477374,8.2763585
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.265049,9.64585,9.4554495
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.621726,7.571778,7.596752
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.203762,9.978386,9.591074
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.61795,8.762938,8.190444
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.899901,7.913866,7.9068835
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.348497,9.203822,8.7761595
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.53496,8.333616,7.934288
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.747662,9.583388,9.165525
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.873683,8.429557,8.15162
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.22294,9.204293,8.7136165
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.204035,9.010797,8.607416
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.031774,9.529231,9.2805025
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.100691,9.097271,8.598981
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.899901,8.818436,8.3591685
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.418225,9.360253,8.889239
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.039489,8.551735,8.295612
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.962927,6.98434,6.9736335
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.520643,9.249434,8.8850385
