"","sample","tissue","endometriosis","severity","p202671_s_at","p218018_at","PDXK"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.472713,7.988681,7.230697
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.831202,7.692505,7.2618535
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.583505,8.099732,7.3416185
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.88409,7.239297,7.0616935
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.03126,8.701177,7.8662185
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.394524,7.371027,6.8827755
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.471055,7.489259,6.480157
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.716201,8.266707,7.491454
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.262229,7.576079,6.919154
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.104245,7.505985,7.305115
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.154595,8.110343,7.132469
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.420655,8.058421,7.239538
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.10914,7.555732,6.832436
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.705408,7.97471,7.340059
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.49447,7.726718,7.110594
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.325927,7.234886,6.7804065
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.222148,7.685319,6.9537335
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.757608,7.851206,7.304407
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.426628,7.509911,6.9682695
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.168915,9.771417,9.470166
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.432636,9.80426,9.618448
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.256773,9.709191,9.482982
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.681265,10.667436,10.1743505
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.715063,10.047776,9.8814195
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.371107,9.612179,9.491643
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.649334,9.798979,9.7241565
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.737025,10.22919,9.9831075
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.729782,9.045864,8.887823
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.188923,9.570919,9.379921
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.674873,10.206217,9.940545
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.592419,10.063702,9.8280605
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.420105,9.828665,9.624385
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.409325,9.754302,9.5818135
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.970658,9.859025,9.9148415
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.344393,8.873939,8.609166
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.870456,10.093113,9.9817845
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.145585,9.654809,9.400197
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.435933,9.705427,9.57068
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.197105,10.035898,9.6165015
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.708184,10.411671,10.0599275
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.47743,9.549608,9.013519
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.147446,10.928885,11.0381655
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.281299,10.48322,9.8822595
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.852146,9.353367,9.1027565
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.566381,9.876166,9.7212735
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.524238,10.046129,9.7851835
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.077089,10.540818,10.3089535
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.579811,11.129019,10.854415
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.765726,10.162993,9.9643595
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.303282,10.521902,10.412592
