"","sample","tissue","endometriosis","severity","p204355_at","p212674_s_at","DHX30"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.309858,8.119716,7.714787
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.875373,8.32558,8.1004765
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.913669,7.848087,7.880878
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.428089,8.256616,7.8423525
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.480559,8.123899,8.302229
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.126011,8.377927,8.251969
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.957215,7.493742,7.7254785
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.741864,8.620379,8.6811215
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.70999,8.396981,8.0534855
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.628469,8.473937,8.551203
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.065576,8.405522,8.235549
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.361741,8.628752,8.4952465
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.843096,7.224873,7.0339845
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.176421,8.863366,9.0198935
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.999371,8.492102,8.2457365
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.357659,8.48544,8.4215495
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.035553,8.35809,8.1968215
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.907449,7.937362,7.9224055
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.063856,8.070084,8.06697
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.717582,9.712758,9.71517
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.662111,9.722138,9.6921245
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.809783,9.53338,9.6715815
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.050379,9.432723,9.241551
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.950483,10.024259,9.987371
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.947612,9.951084,9.949348
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.255999,10.129184,10.1925915
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.453303,9.77664,9.6149715
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.025055,9.878154,9.9516045
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.239986,9.328311,9.2841485
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.892682,10.118349,10.0055155
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.228094,10.509238,10.368666
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.163742,10.038605,10.1011735
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.356706,10.595871,10.4762885
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.050341,9.959706,10.0050235
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.896899,8.83245,8.8646745
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.258813,10.017142,10.1379775
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.156913,10.300688,10.2288005
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.905702,9.058666,8.982184
