"","sample","tissue","endometriosis","severity","p217888_s_at","p234001_s_at","ARFGAP1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.818238,7.18157,7.999904
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.077841,7.211259,7.64455
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.918908,7.210287,7.5645975
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.626995,7.345781,7.986388
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.477728,7.839412,8.15857
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.513043,7.17312,7.8430815
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.411113,8.077125,7.744119
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.609932,7.444505,8.0272185
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.839268,7.827441,8.3333545
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.157101,7.068401,7.612751
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.942747,7.125967,7.534357
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.929108,6.681408,7.305258
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.628419,7.272997,7.950708
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.692886,7.588996,8.140941
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.337067,7.453639,7.895353
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.343975,7.425391,7.884683
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.510928,6.960377,7.7356525
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.551101,7.044834,7.2979675
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.080039,6.293289,7.186664
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.774738,7.70233,8.738534
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.417699,7.472696,8.4451975
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.55062,8.012334,8.781477
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.510853,8.473695,9.492274
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.146745,8.647849,9.397297
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.833545,8.711656,9.2726005
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.789825,9.015487,9.902656
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.815566,8.106972,9.461269
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.830503,8.276858,9.0536805
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.767013,7.513364,8.6401885
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.601919,8.353446,9.4776825
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.456944,8.485697,9.4713205
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.871481,8.265746,9.0686135
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.169008,9.360556,10.264782
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.294262,8.718401,9.5063315
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.103776,7.865706,8.484741
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.959301,8.807674,9.3834875
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.606217,8.318398,9.4623075
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.523296,7.648254,8.585775
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.984155,7.813048,8.8986015
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.774555,8.523968,9.6492615
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.412013,7.993144,9.2025785
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.669427,9.199025,9.934226
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.592182,7.321368,8.456775
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.94071,7.796649,8.8686795
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.579858,8.212485,8.8961715
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.981869,7.513364,8.7476165
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.379292,7.513364,8.946328
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.274648,8.379368,9.327008
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.851202,7.992972,8.922087
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.159971,8.014315,9.087143
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.319486,8.285268,9.302377
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.864689,8.183246,9.0239675
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.049419,8.141883,9.095651
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.481831,7.705873,8.593852
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.283796,8.178029,9.2309125
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.613931,6.28342,7.4486755
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.109104,8.399649,9.2543765
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.175389,7.68466,8.4300245
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.656512,7.031714,7.844113
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.684852,8.006012,8.845432
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.791529,8.349149,9.070339
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.041131,7.732574,8.3868525
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.034906,7.359221,8.1970635
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.289185,7.112571,8.200878
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.524674,6.865806,7.69524
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.54741,8.771035,9.6592225
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.678514,7.953266,8.81589
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.56959,7.031979,7.8007845
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.32626,6.711016,7.518638
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.781559,8.357001,9.06928
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.599076,7.513364,8.05622
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.893187,7.543501,8.218344
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.065548,8.013494,8.539521
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.24764,7.671715,8.4596775
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.516559,7.357162,7.9368605
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.432114,7.098536,7.765325
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.677806,7.188047,7.9329265
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.201689,6.568688,7.3851885
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.325993,7.294947,7.81047
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.81014,7.745729,8.7779345
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.161897,6.99459,7.5782435
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.514248,7.513364,8.013806
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.574505,7.053937,8.314221
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.424628,7.513364,8.468996
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.346752,7.747623,8.5471875
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.59939,8.375559,8.9874745
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.808548,8.717653,9.7631005
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.95059,8.648394,9.299492
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.269794,7.859411,8.5646025
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.360713,8.753424,9.5570685
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.699152,8.28825,8.993701
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.391711,7.947398,9.1695545
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.712868,8.982567,9.8477175
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.297566,7.248082,8.272824
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.298304,7.844328,9.071316
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.426676,8.142101,9.2843885
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.720299,7.628709,8.674504
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.58781,7.726389,8.6570995
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.093097,8.187967,9.640532
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.774259,7.102149,8.938204
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.134392,8.330568,9.23248
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.874492,7.812797,8.8436445
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.979436,7.781426,8.880431
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.902014,9.055535,9.9787745
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.80018,7.650618,8.725399
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.959642,7.764559,8.8621005
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.110814,7.815656,8.963235
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.09581,8.598472,9.847141
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.854382,7.617864,8.736123
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.374848,8.025271,9.2000595
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.302743,8.096429,9.199586
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.195239,8.62686,9.4110495
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.827168,7.968154,8.897661
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.027298,6.796684,7.411991
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.72991,7.649076,8.189493
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.765724,7.562895,8.1643095
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.042847,8.21771,8.6302785
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.385071,7.489261,7.937166
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.959643,8.568404,8.7640235
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.710064,8.512395,9.1112295
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",9.761695,7.513364,8.6375295
