"","sample","tissue","endometriosis","severity","p212375_at","p230629_s_at","EP400"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.953768,5.722351,6.8380595
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.304452,5.727444,6.515948
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.076908,5.67388,6.875394
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.996184,5.67388,6.835032
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.542409,5.67388,6.6081445
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.612532,5.67388,6.643206
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.900711,5.67388,6.2872955
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.28111,5.722351,7.0017305
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.767532,5.888413,6.8279725
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.26543,5.67388,6.469655
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.074855,5.722351,6.898603
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.83252,5.722351,6.7774355
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.078353,5.722351,6.400352
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.23239,5.669574,6.950982
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.48051,5.67388,7.077195
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.916645,5.496399,6.706522
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.926312,5.258292,6.592302
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.333709,5.654227,6.493968
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.182408,5.815146,6.498777
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.38978,7.275511,7.3326455
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.596655,7.119831,7.858243
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.518776,6.947632,7.233204
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.229808,9.269056,7.249432
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.617132,5.67388,6.645506
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.658667,7.145946,6.9023065
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.800625,7.155676,5.9781505
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.205835,8.245622,6.7257285
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.764946,6.773568,7.269257
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.946114,7.064344,6.005229
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.942075,8.201723,7.071899
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.875185,6.470231,6.172708
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.923214,6.778542,7.350878
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.800625,5.903483,5.352054
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.079875,5.906758,5.9933165
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.755209,7.113241,7.934225
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.333315,9.184762,8.2590385
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.271782,8.702564,7.487173
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.302305,6.661521,7.481913
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.964343,8.056183,7.510263
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.127792,8.517244,6.822518
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.143207,8.432328,7.7877675
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.257903,5.440063,6.348983
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.253422,8.388952,7.321187
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.530811,6.884555,7.207683
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.170373,7.282166,7.2262695
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.961507,7.872802,7.4171545
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.863841,7.76521,6.8145255
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.327659,7.134307,6.230983
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.833127,7.734964,6.7840455
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.947119,8.22731,6.5872145
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.800625,7.903741,6.352183
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.091125,5.722351,6.406738
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.377022,6.787777,6.5823995
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.15618,7.313802,7.234991
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.805323,7.380035,7.592679
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.487899,6.967904,7.7279015
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.393749,7.038433,7.216091
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.323158,6.923799,7.6234785
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.599354,5.742047,7.1707005
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.978894,6.787777,7.3833355
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.660941,7.112432,7.3866865
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.267253,5.67388,6.9705665
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.224836,6.835178,7.530007
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.3859,8.43203,8.408965
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.54306,6.515187,7.5291235
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.319708,7.552319,7.9360135
