"","sample","tissue","endometriosis","severity","p244661_at","p228479_at","SOAT1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.843232,8.214566,6.528899
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.788164,7.195567,5.4918655
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.710838,7.299091,6.0049645
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.468062,7.957775,6.2129185
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.149868,7.745391,5.9476295
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.094568,8.339819,6.2171935
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.141699,7.594667,6.368183
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.615867,8.505627,6.560747
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.087132,8.246276,6.666704
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.652186,8.43034,7.041263
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.430723,8.362647,6.396685
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.610597,8.424128,6.5173625
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.306763,8.033638,6.6702005
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.384627,7.939132,6.6618795
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.489168,8.21766,6.353414
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.672753,9.013101,7.342927
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.552155,9.010692,7.2814235
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.672753,8.387332,7.0300425
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.365752,8.782244,7.573998
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.087132,8.865473,6.9763025
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.31674,8.496119,6.4064295
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.964611,9.411706,7.6881585
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.58942,9.836692,8.713056
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.672753,8.9551,7.3139265
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.402041,9.356725,6.879383
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.701932,9.602858,7.152395
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.414999,7.119146,5.2670725
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.30504,8.98031,7.142675
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.750882,10.666936,8.208909
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.087132,9.035682,7.061407
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.652186,8.863094,7.25764
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.087132,9.46777,7.277451
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.866979,7.082327,5.974653
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.962599,7.288471,5.625535
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.873258,8.721354,7.297306
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.593789,8.446753,7.020271
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.423628,8.851787,6.6377075
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.010657,9.581904,7.7962805
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.652186,9.114529,7.3833575
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.652186,9.945724,7.798955
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.882773,9.770624,7.8266985
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.429202,8.620375,7.0247885
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.652186,9.242443,7.4473145
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.642955,9.622746,8.1328505
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.408855,8.788827,7.098841
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.672753,9.385619,7.529186
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.414999,8.309695,5.862347
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.672753,9.916442,7.7945975
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.138221,9.088196,7.1132085
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.087132,7.800933,6.4440325
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.087132,8.083827,6.5854795
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.038633,8.384,6.2113165
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.809152,9.525371,7.1672615
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.370171,9.00017,6.6851705
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.361713,9.660538,7.0111255
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.16821,9.629395,7.8988025
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.491042,9.077057,6.7840495
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.672753,9.229957,7.451355
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.562135,9.595642,8.0788885
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.672753,9.091493,7.382123
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.440159,8.082885,6.761522
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.623899,9.162234,7.8930665
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.41313,9.649263,8.0311965
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.560916,10.010612,8.285764
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.329459,8.999401,7.16443
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.962599,9.227617,6.595108
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.087132,8.369095,6.7281135
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.292256,8.685368,7.488812
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.591817,9.040036,7.8159265
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.368993,9.024297,7.696645
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.798447,8.948645,7.873546
