"","sample","tissue","endometriosis","severity","p204761_at","p238164_at","USP6NL"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.036484,3.325676,5.18108
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.03232,3.653751,5.3430355
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.424964,3.672601,5.0487825
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.441212,3.210544,4.825878
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.631967,3.715318,5.6736425
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.39391,3.103472,4.748691
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.309055,3.325676,4.8173655
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.477392,3.325676,4.901534
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.424964,3.442345,4.9336545
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.424964,2.984131,4.7045475
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.816997,3.66477,5.2408835
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.625947,3.820537,5.223242
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.424964,3.755825,5.0903945
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.067165,3.460411,5.263788
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.935724,3.207632,5.571678
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.424964,3.534764,4.979864
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.536174,3.277697,4.9069355
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.509181,3.325676,4.9174285
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.424964,3.325676,4.87532
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.989614,4.095723,5.0426685
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.500596,5.361069,5.9308325
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.925262,4.702624,5.313943
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.172491,3.754369,4.96343
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.148762,3.810613,4.4796875
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.273602,3.344392,3.808997
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.406964,3.210544,3.808754
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.464594,2.984131,4.2243625
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.056675,4.130698,5.5936865
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.146064,3.159892,4.152978
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.457429,4.290873,4.374151
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.406964,4.106126,4.256545
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.424964,4.421944,5.423454
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.248168,3.210544,4.229356
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.940193,2.615036,3.7776145
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.553547,4.21938,5.8864635
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.569474,3.778006,4.67374
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.837344,3.325676,4.58151
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.51437,4.692437,5.6034035
