"","sample","tissue","endometriosis","severity","p202427_s_at","p227669_at","MPC2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.804057,6.316413,8.060235
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.353832,6.108188,7.73101
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.381002,4.778833,6.5799175
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.383089,6.748573,8.065831
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.340603,5.78363,7.5621165
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.380752,7.538258,8.959505
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.44424,4.620254,6.532247
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.322783,5.954295,7.638539
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.336813,6.73106,8.0339365
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.704107,7.188625,8.946366
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.945116,5.200057,7.0725865
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.429108,5.824092,7.6266
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.7842,4.94873,6.866465
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.230819,5.628443,7.429631
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.605713,6.46246,8.0340865
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.155719,6.338579,7.747149
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.089088,6.570677,7.8298825
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.403904,7.47135,8.937627
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.676692,7.632842,8.654767
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.666822,6.741683,8.7042525
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.592627,6.770904,8.6817655
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.184618,8.410572,10.297595
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.116634,4.913464,7.015049
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.364586,6.108188,8.236387
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.022487,5.928735,8.975611
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.995267,4.735682,8.3654745
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.231076,4.620254,7.425665
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.670535,6.108188,8.3893615
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.355386,7.726941,10.0411635
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.214037,5.135523,8.17478
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.796979,3.896433,6.846706
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.167863,5.572062,8.3699625
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.47385,5.242891,7.3583705
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.954618,4.616283,7.7854505
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.547485,7.984873,9.266179
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.898132,7.385621,9.1418765
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.452246,4.620254,7.53625
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.56285,7.399786,8.981318
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.530195,5.020302,7.7752485
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.562039,6.746665,9.154352
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.320689,6.234483,8.277586
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.64821,5.175581,7.4118955
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.176106,6.077651,8.6268785
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.916873,6.108188,8.0125305
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.22979,7.080771,9.1552805
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.466235,6.108188,8.2872115
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.809215,5.051237,7.930226
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.087826,5.583374,7.8356
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.557043,5.914185,8.235614
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.164178,6.276871,8.7205245
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.286742,5.330302,7.808522
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.935591,6.108188,8.5218895
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.049758,5.083375,8.0665665
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.067839,5.062492,7.5651655
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.494675,4.78333,7.6390025
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.806148,7.342265,9.0742065
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.899921,6.847675,8.873798
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.096478,8.074531,9.5855045
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.257555,7.414487,8.836021
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.155233,7.310196,9.2327145
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.414378,6.271757,8.3430675
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.717338,7.377307,9.0473225
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.329835,8.400061,9.864948
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.70248,6.56414,8.13331
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.524489,7.346991,8.93574
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.405266,5.581819,7.9935425
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.678677,5.500393,7.589535
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.366737,7.239311,8.803024
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.54694,8.439479,9.4932095
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.307882,7.428335,8.8681085
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.523858,7.089884,8.306871
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.309487,8.505803,9.407645
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.183514,7.754363,8.9689385
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.416343,7.286963,8.851653
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.515396,8.33118,9.423288
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.26734,8.384214,9.325777
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.374083,8.068171,9.221127
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.545689,8.531647,9.538668
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.165496,7.668762,8.917129
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.484373,8.394652,9.4395125
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.248996,8.059007,9.1540015
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.663337,8.080557,9.371947
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.69242,5.352923,7.5226715
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.821298,7.815984,9.318641
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.776408,5.876297,7.8263525
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.832545,6.984184,8.9083645
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.742412,4.46654,7.104476
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.405878,6.316287,8.3610825
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.117058,5.730898,7.923978
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.4791,5.613156,8.046128
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.536256,6.857619,8.6969375
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.935205,3.887886,7.4115455
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.131264,4.158633,6.6449485
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.646838,6.311974,7.979406
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.049001,6.16055,8.1047755
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.986784,5.075599,7.5311915
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.903199,6.244201,8.5737
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.666824,7.253223,8.9600235
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.595425,5.540848,8.0681365
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.504105,6.074856,7.7894805
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.147814,5.970655,8.0592345
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.027961,6.307176,8.1675685
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.051267,7.721451,9.386359
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.982976,5.381604,7.68229
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.127113,6.784534,8.4558235
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.217392,6.566224,8.391808
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.020142,6.144952,8.082547
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.915523,4.620254,7.2678885
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.947878,6.03319,7.990534
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.778393,6.000145,7.889269
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.971627,4.941263,7.456445
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.993937,6.734853,8.364395
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.851927,6.441404,8.1466655
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.733571,8.54091,9.6372405
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.280082,7.319104,8.299593
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.993096,6.730287,7.8616915
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.168882,7.050444,8.609663
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.341167,4.679294,6.5102305
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.838401,4.30107,6.5697355
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.891951,5.677358,7.2846545
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",9.137075,8.035124,8.5860995
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.056235,6.754089,7.905162
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",9.835802,7.469971,8.6528865
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.678882,9.484272,10.081577
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.303964,6.91519,8.109577
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.394858,8.524947,9.4599025
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.880519,6.35867,7.6195945
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.581846,8.952312,9.767079
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.99859,9.347811,10.1732005
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.171686,7.350513,8.2610995
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.857373,6.399411,7.628392
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.081456,8.134301,9.1078785
