"","sample","tissue","endometriosis","severity","p204879_at","p221898_at","PDPN"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.572793,5.690827,5.13181
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.881137,4.13703,3.5090835
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.847114,7.398072,6.122593
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.536965,5.766065,5.651515
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.847114,6.036445,5.4417795
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.028551,6.302098,5.6653245
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.490426,5.860751,5.1755885
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.212525,6.880373,5.546449
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.184972,6.817657,6.0013145
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.978623,5.190522,4.5845725
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.650065,6.101411,5.375738
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.509679,6.713984,5.6118315
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.738388,5.190522,4.464455
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.829351,7.308187,6.568769
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.765822,6.880373,5.3230975
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.354067,5.597294,4.9756805
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.936173,6.368087,5.15213
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.160665,5.247002,4.7038335
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.543947,7.565211,6.054579
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.829351,5.869968,5.8496595
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.193503,5.631583,5.412543
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.736445,7.406021,7.071233
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.291854,9.9795,9.635677
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.42953,6.720271,6.5749005
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.020666,7.581329,7.8009975
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.939,5.690827,5.8149135
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.829351,6.880373,6.354862
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.110599,6.475964,6.2932815
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.494873,5.190522,5.3426975
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.29946,6.601451,6.4504555
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.956056,6.882051,5.9190535
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.809991,7.294223,7.052107
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.829351,5.728866,5.7791085
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.829351,5.650752,5.7400515
