"","sample","tissue","endometriosis","severity","p1557174_a_at","p238599_at","IRAK1BP1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.744493,4.736304,5.2403985
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.744493,3.867111,4.805802
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.521623,3.143958,3.8327905
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.841877,3.838038,4.3399575
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.570944,3.721035,4.6459895
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.307334,3.449507,4.3784205
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.509589,2.501591,4.00559
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.744493,3.559198,4.6518455
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.8288,3.665489,4.7471445
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.61429,3.836794,4.225542
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.564369,4.818562,5.6914655
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.489658,4.390597,5.4401275
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.29209,3.637358,4.464724
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.8288,4.243044,5.035922
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.199241,5.406607,5.802924
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.442291,4.036081,4.739186
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.556872,3.564552,4.060712
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.8288,3.781856,4.805328
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.512603,4.533616,5.0231095
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.583383,3.570639,4.577011
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.509589,3.637358,4.5734735
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.471463,3.693061,4.582262
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.328274,2.463972,2.896123
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.492248,3.62547,4.058859
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.916884,3.382917,4.1499005
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.311536,3.762491,4.5370135
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.28226,2.670902,2.976581
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.495419,4.120608,4.8080135
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.911013,4.190749,5.050881
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.509589,3.640097,4.574843
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.701933,5.519089,5.610511
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.693263,3.793849,4.743556
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.896483,2.423898,3.6601905
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.927159,3.571161,3.74916
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.607981,4.541238,5.5746095
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.385829,4.457066,4.9214475
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.680518,3.91984,5.300179
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.744493,3.391771,4.568132
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.839946,3.637358,4.738652
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.373654,2.546627,3.9601405
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.744493,3.637358,4.6909255
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.95589,2.414974,3.185432
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.485864,3.637358,4.561611
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.960531,3.877064,4.9187975
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.124442,3.637358,4.3809
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.055983,4.63981,5.3478965
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.946145,4.177502,4.5618235
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.328274,2.463972,2.896123
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.477261,2.857157,4.167209
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.509589,3.597347,4.553468
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.509589,3.571161,4.540375
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.509589,4.303181,4.906385
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.167526,3.637358,4.402442
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.032306,3.249558,4.640932
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.744493,3.310847,4.52767
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.53054,5.407614,5.969077
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.722043,3.185076,4.4535595
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.39218,3.64416,4.51817
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.8288,3.484507,4.6566535
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.279541,2.463972,3.8717565
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.509589,3.767797,4.638693
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.083217,3.700976,4.3920965
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.317132,3.956499,5.1368155
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.982809,3.703817,4.843313
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.744137,4.252011,5.498074
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.8288,3.571161,4.6999805
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.068336,3.015256,4.041796
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.089327,6.844556,6.9669415
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.753414,6.640043,7.1967285
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.985016,5.936014,6.460515
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.642262,5.108777,5.8755195
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.867617,5.116422,5.9920195
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.81288,5.816728,6.314804
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.573003,6.417458,6.4952305
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.273779,6.138824,6.7063015
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.778329,5.683646,6.2309875
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.589967,6.576852,7.0834095
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.091176,6.714279,6.9027275
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.035783,6.462262,6.7490225
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.118545,6.723119,6.920832
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.434172,6.717421,7.0757965
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.584373,6.605435,7.094904
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.744493,3.6279,4.6861965
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.673672,3.512714,4.593193
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.336495,4.801735,5.569115
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.236945,3.637922,4.4374335
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.509589,3.705591,4.60759
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.509589,2.780718,4.1451535
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.4308,3.986211,5.2085055
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.744493,3.784546,4.7645195
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.350157,2.463972,3.9070645
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.617385,3.649855,5.13362
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.7055,2.414974,3.060237
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.93665,3.613947,4.7752985
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.450568,3.162372,4.30647
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.413216,3.161934,4.287575
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.588777,3.244097,3.916437
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.089853,3.571161,4.330507
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.10734,4.318185,5.2127625
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.509589,2.463972,3.9867805
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.621082,4.214595,5.4178385
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.092515,3.273174,4.6828445
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.861324,3.573972,4.217648
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.77996,3.571161,4.6755605
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.744493,3.23471,4.4896015
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.64563,3.753245,4.6994375
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.589307,3.682613,4.63596
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.509589,3.637358,4.5734735
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.113711,4.032006,5.0728585
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.471163,4.39963,4.9353965
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.395529,3.637358,4.5164435
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.8288,3.976222,4.902511
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.830718,3.788204,4.809461
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.465411,3.786329,5.12587
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.744493,3.571161,4.657827
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.263511,3.378819,4.321165
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.8288,3.637358,4.733079
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.8288,3.571161,4.6999805
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.873737,2.841858,3.3577975
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.8288,4.667938,5.248369
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.724973,4.917081,5.821027
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.275056,5.19978,6.237418
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.476092,6.592942,7.034517
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.786957,3.645743,4.71635
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.375042,4.43161,5.403326
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.802173,5.893082,6.3476275
