"","sample","tissue","endometriosis","severity","p211404_s_at","p208702_x_at","p208248_x_at","p208704_x_at","p214875_x_at","APLP2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.643318,9.241398,12.126169,12.028082,7.658327,9.7394588
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.924357,10.432383,11.713617,11.313461,8.58145,9.9930536
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.798308,10.523638,12.038769,11.894901,8.494321,10.3499874
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.693997,12.061504,13.210866,12.968525,10.318102,11.6505988
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.368135,10.267978,11.844595,11.402122,8.186754,10.0139168
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.128366,11.989031,12.87675,12.766488,10.175093,11.5871456
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.565487,11.68015,12.976617,12.828739,9.550156,11.3202298
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.990041,10.267208,11.934275,12.012613,8.301234,10.1010742
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.016535,10.06215,11.956449,11.463013,8.355877,9.9708048
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.135634,12.085503,12.686284,12.673192,10.249493,11.5660212
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.626327,10.528305,12.149646,11.836768,8.766599,10.381529
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.234087,10.655086,11.895627,11.848437,8.54433,10.2355134
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.442342,10.165526,13.029246,12.73208,8.394065,10.5526518
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.133373,10.285523,12.117224,11.993742,8.277085,10.1613894
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.622003,9.445122,11.885131,11.58965,7.73997,9.6563752
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.921745,11.541285,12.960763,12.912655,9.775453,11.4223802
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.707966,11.56058,13.087859,13.079372,9.869959,11.4611472
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.212211,11.609129,12.576032,12.500192,10.046536,11.38882
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.782589,10.989124,12.490445,12.178762,9.251989,10.9385818
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.122574,9.578925,11.73928,11.387399,7.641069,9.6938494
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.124513,7.453817,10.88098,10.506308,5.870589,8.1672414
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.650074,9.882815,11.825646,11.441697,7.736229,9.9072922
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.547092,9.442947,12.324685,11.943031,7.384807,9.9285124
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.945623,9.314475,11.892608,11.529098,7.668918,9.6701444
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.506488,9.392891,11.409441,11.106669,7.562854,9.3956686
