"","sample","tissue","endometriosis","severity","p213085_s_at","p236725_at","WWC1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.782512,6.228828,8.00567
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.776551,3.776268,5.7764095
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.973104,3.949652,4.961378
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.855309,6.319157,7.587233
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.799173,3.500903,5.150038
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.734985,4.699038,6.7170115
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.211977,5.145606,6.6787915
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.315623,3.417423,5.366523
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.403891,4.038811,6.221351
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.541312,4.83843,6.189871
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.008457,3.738548,5.8735025
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.423152,3.536896,5.480024
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.848798,8.730255,8.7895265
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.541626,4.57935,6.060488
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.351089,4.934195,6.642642
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.520064,6.456205,7.9881345
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.380144,6.327801,7.8539725
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.242698,7.088041,8.1653695
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.023057,6.219642,7.6213495
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.356948,7.124247,7.2405975
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.458813,6.532515,7.495664
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.316407,6.327369,6.821888
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.095386,6.995649,7.0455175
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.680642,5.7622,6.721421
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.130574,5.786388,6.458481
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.290732,6.274552,7.282642
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.371728,5.066225,5.2189765
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.228505,6.151958,7.1902315
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.251885,5.391099,6.821492
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.261636,6.061743,6.6616895
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.074656,7.301001,7.6878285
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.694151,6.266704,6.9804275
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.193752,5.161542,5.677647
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.794719,4.548016,5.6713675
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.190356,6.961957,8.5761565
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.422264,5.342803,6.3825335
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.576876,5.814438,6.195657
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.264745,6.620743,7.942744
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.206845,5.846184,6.5265145
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.507574,7.471839,7.4897065
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.189007,7.312772,7.7508895
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.700548,3.288423,4.9944855
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.380095,5.63316,6.5066275
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.482087,8.438993,7.46054
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.219673,5.640999,6.430336
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.416722,5.925545,6.6711335
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.370247,5.669319,6.519783
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.22661,6.286739,6.7566745
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.605331,7.20106,7.4031955
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.452905,6.737408,7.5951565
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.532312,5.763828,6.64807
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.04386,3.550469,5.2971645
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.955291,4.975185,5.965238
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.559183,7.865618,8.2124005
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.144676,4.590223,6.3674495
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.581759,6.353612,7.4676855
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.254963,4.957959,6.106461
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.870776,6.480323,7.1755495
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.004108,6.822845,7.9134765
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.243032,6.800882,8.021957
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.88417,6.379116,7.631643
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.2394,4.759553,6.4994765
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.120492,6.606779,7.3636355
