"","sample","tissue","endometriosis","severity","p200925_at","p224344_at","COX6A1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.161016,2.236067,7.6985415
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.264893,2.236067,7.75048
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.833335,2.236067,7.534701
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.126814,2.236067,7.6814405
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.833752,2.236067,7.5349095
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.230257,2.236067,7.733162
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.990046,2.236067,7.6130565
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.117924,2.236067,7.6769955
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.145866,2.236067,7.6909665
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.398762,2.236067,7.8174145
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.410228,2.236067,7.8231475
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.940222,2.236067,7.5881445
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.68364,2.236067,7.4598535
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.122979,2.236067,7.679523
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.227368,2.236067,7.7317175
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.054347,2.236067,7.645207
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.199919,2.236067,7.717993
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.138056,2.236067,7.6870615
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.865013,2.236067,7.55054
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.676777,2.236067,7.956422
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.842224,2.236067,8.0391455
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.225083,2.236067,8.230575
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.723181,2.236067,7.979624
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.888388,2.236067,8.0622275
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.140469,2.236067,8.188268
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.629283,2.236067,8.432675
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.411847,2.236067,8.323957
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.063104,2.236067,8.1495855
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.213835,2.236067,8.224951
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.314561,2.236067,8.275314
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.061365,2.236067,8.148716
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.123193,2.236067,8.17963
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.923814,2.236067,8.0799405
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.579881,2.236067,8.407974
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.381923,2.236067,7.808995
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.022277,2.236067,8.129172
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.183258,2.236067,8.2096625
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.644221,2.236067,7.940144
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.304959,2.236067,8.270513
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.265579,2.236067,8.250823
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.809321,2.236067,8.022694
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.045258,2.236067,8.1406625
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.360166,2.236067,8.2981165
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.612023,2.236067,7.924045
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.217824,2.236067,8.2269455
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.197047,2.236067,8.216557
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.451871,2.236067,8.343969
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.946577,2.236067,8.091322
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.201466,2.236067,8.2187665
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.458527,2.236067,8.347297
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.020287,2.236067,8.128177
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.076827,2.236067,8.156447
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.293785,2.236067,8.264926
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.782479,2.236067,8.009273
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.85515,2.236067,8.0456085
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.543032,2.236067,7.8895495
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.920384,2.236067,8.0782255
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.666757,2.236067,7.951412
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.308063,2.236067,7.772065
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.940889,2.236067,8.088478
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.05545,2.236067,8.1457585
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.658565,2.236067,7.947316
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.592026,2.236067,7.9140465
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.726374,2.236067,7.9812205
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.986625,2.236067,7.611346
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.880023,2.236067,8.058045
