"","sample","tissue","endometriosis","severity","p55583_at","p221794_at","p221793_at","DOCK6"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.722934,5.215194,2.236067,4.72473166666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.430803,5.338974,2.236067,4.66861466666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.167734,5.793254,2.236067,5.065685
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.508758,6.664837,2.236067,5.46988733333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.180553,6.097439,2.236067,5.171353
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.026829,6.365513,2.236067,5.20946966666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.46264,5.2779,2.236067,4.658869
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.186067,7.15292,2.236067,5.85835133333333
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.595179,7.130298,2.236067,5.653848
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.779709,5.304085,2.236067,4.773287
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.702594,5.557875,2.236067,5.165512
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.081194,6.625178,2.236067,5.31414633333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.177819,6.119426,2.236067,5.17777066666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.265561,6.194981,2.236067,5.232203
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.331234,5.736955,2.236067,5.10141866666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.918686,6.453143,2.236067,5.202632
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.492589,6.176841,2.236067,5.30183233333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.615315,5.985371,2.236067,4.94558433333333
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.332792,5.585843,2.236067,4.718234
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.711636,7.845123,2.236067,6.26427533333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.129009,7.069915,2.236067,5.81166366666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.377848,7.444347,2.236067,6.01942066666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.335671,9.387451,2.236067,7.31972966666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.943846,7.864063,2.236067,6.347992
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.026916,8.234977,2.236067,6.49932
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.872914,7.284505,2.236067,6.131162
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.916149,7.662747,2.236067,6.27165433333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.431559,7.435673,2.236067,6.034433
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.608244,7.448536,2.236067,6.09761566666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.267827,8.326014,2.236067,6.60996933333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.617479,7.701355,2.236067,6.184967
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.854249,7.844189,2.236067,6.31150166666667
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.746056,8.758177,2.236067,6.91343333333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.069162,7.883484,2.236067,6.39623766666667
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.378729,6.326779,2.236067,5.31385833333333
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.043043,7.884768,2.236067,6.38795933333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.2307,8.385814,2.236067,6.617527
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.228402,7.291909,2.236067,5.91879266666667
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.520023,7.768011,2.236067,6.17470033333333
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.153778,8.305935,2.236067,6.56526
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.43401,7.303613,2.236067,5.99123
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.32066,9.202398,2.236067,7.25304166666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.760993,7.846503,2.236067,6.28118766666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.183424,6.977279,2.236067,5.79892333333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.661099,7.932379,2.236067,6.276515
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.370012,7.500935,2.236067,6.03567133333333
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.983176,7.97988,2.236067,6.39970766666667
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.319174,9.181339,2.236067,7.24552666666667
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.840041,7.745241,2.236067,6.273783
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.116156,6.460568,2.236067,5.60426366666667
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.504952,7.230796,2.236067,5.990605
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.565972,7.422324,2.236067,6.07478766666667
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.075168,8.027321,2.236067,6.44618533333333
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.143855,6.964114,2.236067,5.78134533333333
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.809942,7.638055,2.236067,6.22802133333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.940491,5.789588,2.236067,4.98871533333333
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.534158,7.446194,2.236067,6.07213966666667
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.038029,7.102738,2.236067,5.792278
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.640827,6.896989,2.236067,5.59129433333333
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.121379,7.556942,2.236067,5.97146266666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.403509,7.351998,2.236067,5.99719133333333
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.929934,7.198846,2.236067,5.78828233333333
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.18238,7.047009,2.236067,5.82181866666667
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.524736,7.652526,2.236067,6.13777633333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.201857,6.521051,2.236067,5.31965833333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.834247,7.858448,2.236067,6.30958733333333
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.815013,7.86686,2.236067,6.30598
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.407555,6.334609,2.236067,5.326077
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.589726,6.655074,2.236067,5.49362233333333
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.613881,6.629117,2.236067,5.49302166666667
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.208952,7.490316,2.236067,5.978445
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.644432,6.758138,2.236067,5.54621233333333
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.203759,7.145946,2.236067,5.861924
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.637583,6.651168,2.236067,5.50827266666667
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.12141,6.238071,2.236067,5.198516
