"","sample","tissue","endometriosis","severity","p202270_at","p202269_x_at","p231577_s_at","GBP1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.493061,9.199951,9.529063,9.74069166666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.475599,8.222298,8.024893,7.57426333333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.021633,9.663676,9.418782,9.034697
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.672773,9.253644,9.332101,9.08617266666667
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.767641,8.836429,9.207293,9.27045433333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.642288,8.962928,9.157874,9.25436333333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.978346,10.503601,10.380719,9.954222
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.030763,8.973013,8.796079,8.59995166666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.270722,8.658442,8.828741,8.58596833333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.804106,11.091608,11.379643,11.425119
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.204568,8.441297,8.255516,8.63379366666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.360394,9.413061,9.502674,9.75870966666667
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.28465,12.036225,12.104103,11.808326
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.60724,10.204815,10.441632,10.4178956666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.955763,8.472235,8.315979,8.24799233333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.360482,9.799202,9.922078,10.027254
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.172859,9.611268,9.928135,9.90408733333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.906324,10.335519,10.778698,10.6735136666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.43224,10.431686,10.805896,10.8899406666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.447496,6.370947,6.429404,7.08261566666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.797795,4.194019,4.463268,5.151694
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.174237,7.159134,6.494675,7.60934866666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.265845,8.051132,7.717026,8.01133433333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.687481,6.795981,5.95477,7.14607733333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.995896,4.727635,5.45156,5.72503033333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.689359,2.826312,4.133143,4.54960466666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.46898,5.345712,5.55429,6.122994
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.639123,7.515623,7.787713,7.98081966666667
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.768349,4.319673,2.860215,4.98274566666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.296654,4.193601,5.416522,5.96892566666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.710954,3.440876,5.206064,5.119298
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.327587,6.457733,7.365717,7.71701233333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.318852,4.987746,3.565604,4.62406733333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.14157,3.520592,3.472488,4.37821666666667
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.372754,7.318698,7.600752,8.09740133333333
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.812345,7.395653,7.28324,7.83041266666667
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.270681,5.14863,5.945747,6.45501933333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.624066,7.292055,7.243657,8.05325933333333
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.178641,5.314362,6.025275,6.50609266666667
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.815425,6.213166,4.914064,6.31421833333333
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.608612,7.29786,8.31948,8.741984
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.378178,5.082593,4.586801,6.01585733333333
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.392601,6.379303,6.35328,7.041728
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.396569,8.795023,8.905612,9.699068
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.43638,6.55541,6.548801,7.180197
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.993194,5.80476,6.491935,6.76329633333333
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.245679,3.820497,4.706564,5.25758
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.17086,4.829088,5.210063,6.07000366666667
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.624888,7.055211,6.951768,7.54395566666667
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.528957,3.470976,4.914719,5.304884
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.263018,5.229365,5.752831,6.081738
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.937187,4.60645,5.462868,6.00216833333333
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.034761,3.803746,2.56767,4.46872566666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.727456,5.131521,5.669418,5.84279833333333
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.5918,5.34803,5.321265,6.420365
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.838541,7.042042,6.955498,7.612027
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.433492,4.642769,4.793198,5.623153
