"","sample","tissue","endometriosis","severity","p201070_x_at","p201071_x_at","p211185_s_at","p214305_s_at","p229303_at","SF3B1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.442271,13.357573,13.015828,10.015961,9.54743,11.0758126
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.75181,12.710156,12.237992,10.381322,8.130992,10.6424544
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.114082,12.941445,12.327046,10.592784,8.108618,10.816795
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.014833,12.795347,12.244592,9.481394,8.703276,10.4478884
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.375494,13.062024,12.576129,10.288308,9.036554,10.8677018
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.077696,12.901786,12.400338,9.674801,8.939341,10.5987924
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.015644,11.923133,11.697532,10.197326,5.968114,9.9603498
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.509841,12.721706,12.536868,9.402283,8.718282,10.577796
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.124904,13.322585,12.616514,10.505823,9.376099,11.189185
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.751786,12.729408,12.351247,9.169121,7.085366,10.0173856
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.748968,12.800256,12.154634,9.977056,8.586238,10.6534304
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.072407,12.719067,12.140104,9.813285,9.06803,10.5625786
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.289664,11.890236,11.764446,10.228477,8.428095,10.3201836
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.182154,12.99191,12.60917,10.601649,9.407257,11.158428
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.378562,13.137582,12.752262,10.928328,9.27233,11.2938128
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.188962,12.85802,12.347329,10.650182,8.197254,10.8483494
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.884194,12.908823,12.343974,10.129909,8.401815,10.733743
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.623826,12.460385,12.417155,9.870293,8.59486,10.5933038
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.402175,12.411012,12.18433,9.94772,8.30134,10.4493154
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.655135,10.334715,10.241353,6.44599,6.197213,7.5748812
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.062236,10.407483,10.094209,5.52723,6.298262,7.277884
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.648561,9.64692,9.564384,5.725531,6.238062,6.9646916
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.297519,9.610724,10.242696,7.713867,7.107173,8.1943958
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.34079,9.658876,9.474665,4.037565,6.704519,6.643283
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.073982,9.425823,9.088859,6.525215,6.442292,7.3112342
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.108252,9.041878,9.104222,6.814725,7.946005,7.8030164
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.331427,8.90858,8.834099,6.841391,5.732184,6.9295362
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.98202,10.923282,10.760054,6.103235,7.132545,7.9802272
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.406059,9.62183,10.063171,6.473493,7.723343,7.6575792
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.862059,9.106239,9.204149,5.933921,6.954215,7.0121166
