"","sample","tissue","endometriosis","severity","p219683_at","p227499_at","p227524_at","FZD3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.349562,4.167397,5.520511,4.67915666666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.651405,4.213739,5.276221,4.71378833333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.570473,3.121196,6.488968,4.726879
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.136135,4.882888,5.169121,5.06271466666667
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.422742,4.057519,5.22607,4.90211033333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.426879,4.534872,5.304298,4.75534966666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.004885,2.599369,4.920843,4.17503233333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.230955,5.804122,6.51634,6.517139
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.281726,5.763184,6.442166,6.16235866666667
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.532896,3.344164,4.920843,4.26596766666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.997916,5.921973,5.104973,6.00828733333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.445195,6.512696,6.057724,6.33853833333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.426879,3.767138,6.736823,4.97694666666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.496041,5.773445,6.896823,6.38876966666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.165737,5.067951,6.548948,5.594212
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.229461,5.09847,6.065912,5.46461433333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.105319,4.497764,6.166918,5.256667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.487049,4.419929,5.08974,4.66557266666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.262288,4.016407,4.920843,4.73317933333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.694281,4.660766,4.590906,4.98198433333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.02741,5.729622,4.862571,5.53986766666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.677097,4.163072,3.645977,4.16204866666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.552463,5.804122,4.85551,5.40403166666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.307291,4.333106,3.645977,4.42879133333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.218112,3.984908,4.165214,4.12274466666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.063013,4.944216,4.513303,4.17351066666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.854238,4.728949,4.729399,4.770862
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.011247,5.804122,4.920843,5.91207066666667
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.118425,4.551428,4.672372,4.44740833333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.637252,5.637494,3.837504,5.03741666666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.330214,5.861245,4.481806,5.22442166666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.055184,5.804122,4.86801,5.90910533333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.789306,4.418282,3.693188,3.96692533333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.491255,3.841032,3.645977,3.99275466666667
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.403998,6.098821,4.920843,5.80788733333333
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.708644,4.328251,3.897772,4.31155566666667
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.488762,6.787011,4.877291,5.717688
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.999555,5.377064,4.3875,5.58803966666667
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.705226,6.043591,4.877291,5.542036
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.365417,5.162945,4.828569,4.45231033333333
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.783546,6.009622,4.965549,5.586239
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.876156,5.003038,4.401163,5.09345233333333
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.409782,4.648257,4.394545,4.15086133333333
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.630457,5.459797,4.782646,5.6243
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.477886,4.204797,3.684897,4.12252666666667
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.09822,6.174767,4.877291,5.71675933333333
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.426879,5.804122,4.828569,5.01985666666667
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.670746,5.804122,4.820379,5.431749
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.834053,4.698819,4.62804,4.720304
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.369278,4.222317,4.729399,4.106998
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.424232,3.512747,4.440445,4.125808
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.063013,3.913425,3.927727,3.63472166666667
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.210757,7.023171,4.877291,6.037073
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.457321,6.607208,5.961076,6.67520166666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.628357,6.102648,4.877291,5.869432
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.708172,6.743957,5.496642,5.98292366666667
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.670347,6.018015,4.877291,5.188551
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.684808,4.989327,4.582774,5.08563633333333
