"","sample","tissue","endometriosis","severity","p241996_at","p219957_at","p233191_at","p238550_at","RUFY2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.642526,5.336656,3.292937,4.808012,5.27003275
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.548464,4.619492,4.329843,2.256309,4.938527
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.268699,4.738161,4.135656,2.333952,4.619117
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.083707,6.411672,4.135656,2.324519,5.2388885
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.958496,5.963829,2.646685,2.324519,4.72338225
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.765427,4.825652,4.204213,2.324519,4.77995275
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.972803,5.533745,2.701868,2.333952,4.635592
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.307037,5.65418,4.204213,2.324519,5.12248725
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.59323,6.10778,4.14255,2.333952,5.294378
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.165859,4.886545,4.135656,2.775624,4.990921
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.740159,4.619492,4.153783,2.333952,4.9618465
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.320931,5.738048,4.254634,2.333952,5.16189125
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.749933,4.691587,3.57017,2.324519,4.58405225
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.264522,5.812215,2.646685,2.324519,4.76198525
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.374408,6.178771,3.724037,2.324519,5.15043375
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.472417,6.717165,3.061387,2.333952,5.14623025
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.606306,6.332611,4.10378,2.236067,5.319691
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.593705,5.606299,4.204213,2.333952,5.18454225
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.335178,4.619492,4.153783,2.679332,4.94694625
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.704872,7.25748,4.31432,2.862889,5.28489025
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.381827,6.888679,4.153783,2.324519,4.937202
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.976627,6.822799,4.135656,2.333952,4.8172585
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.524186,7.619672,3.281801,2.324519,4.6875445
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.232189,6.379432,2.906572,2.324519,4.460678
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.877871,6.383938,2.757777,2.324519,4.58602625
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.360539,5.671513,2.646685,2.236067,4.478701
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.248427,4.619492,4.204213,2.236067,4.32704975
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.459042,6.911699,4.186326,2.324519,4.9703965
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.163488,7.514076,2.513474,3.522427,4.92836625
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.437583,6.51423,4.135656,2.324519,4.852997
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.284251,6.074465,4.204213,2.313298,4.46905675
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.189698,6.433087,3.000065,2.345506,4.492089
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.294189,4.619492,2.513474,2.236067,3.6658055
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.104278,5.170955,2.646685,2.324519,4.06160925
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.491898,6.254065,6.051913,4.500877,5.82468825
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.866233,6.131721,4.135656,2.333952,4.6168905
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.38607,6.45817,2.936187,2.324519,4.7762365
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.546356,7.767978,4.204213,2.343841,5.465597
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.580834,6.015712,4.135656,2.324519,4.76418025
