"","sample","tissue","endometriosis","severity","p227853_at","p228845_at","PLBD2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.834819,4.646673,5.240746
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.861687,4.347205,5.104446
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.42833,2.895997,4.1621635
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.611987,3.047431,4.829709
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.634846,3.178547,4.4066965
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.395454,4.871171,5.6333125
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.027225,3.383092,4.2051585
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.290323,4.092105,5.691214
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.84789,3.719249,4.7835695
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.124235,4.432499,5.278367
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.671763,4.942281,5.307022
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.464182,3.936702,5.200442
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.46895,3.126247,4.2975985
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.93592,4.387873,5.6618965
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.724561,4.321675,5.023118
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.189229,3.769802,4.9795155
