"","sample","tissue","endometriosis","severity","p201412_at","p227252_at","LRP10"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.701292,5.914939,7.8081155
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.707032,6.341011,8.0240215
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.2609,6.563568,7.912234
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.201396,7.218273,9.2098345
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.93271,6.341011,8.1368605
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.98571,6.811268,8.898489
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.153419,6.341011,8.747215
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.908751,5.946171,7.927461
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.919706,6.341011,8.1303585
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.910858,6.341011,8.6259345
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.269351,6.341011,7.805181
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.687892,6.341011,8.0144515
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.431766,6.341011,8.3863885
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.775939,6.239815,8.007877
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.075363,6.088548,8.0819555
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.446526,6.576731,9.0116285
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.284246,7.108276,9.196261
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.90292,6.341011,8.6219655
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.660462,6.341011,8.5007365
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.989812,7.770448,10.38013
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.964713,6.872243,9.418478
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.965094,7.324982,10.145038
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.689017,8.476781,10.582899
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.015418,6.872243,9.9438305
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.24694,7.736425,10.4916825
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.623244,6.341011,9.4821275
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.564884,6.341011,9.4529475
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.073895,6.425342,9.2496185
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.157993,8.203914,10.1809535
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.24318,7.388602,9.815891
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.032188,6.316298,9.174243
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.011869,7.080862,9.5463655
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.907733,6.862138,9.8849355
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.930102,6.119431,9.5247665
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.244937,6.792927,9.018932
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.411772,7.305098,10.358435
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.212756,7.181226,9.696991
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.764197,6.872243,9.31822
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.77236,6.834613,9.3034865
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.641201,7.574344,10.6077725
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.765628,7.020698,9.393163
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.140268,8.471247,10.8057575
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.193414,7.646436,9.919925
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.304282,7.120764,9.712523
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.073687,6.872243,9.972965
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.597077,6.872243,9.23466
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.293149,6.743533,9.518341
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.146907,8.131822,10.6393645
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.764019,7.039991,9.902005
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.644383,6.341011,9.492697
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.504472,5.884087,9.1942795
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.443541,6.735713,9.589627
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.459585,7.334797,9.897191
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.43473,6.872243,9.6534865
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.983243,6.872243,9.427743
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.135043,6.68797,8.9115065
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.603201,6.780123,9.691662
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.952173,6.846177,9.899175
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.974658,7.817854,9.896256
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.234221,6.832756,9.5334885
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.587294,6.81361,9.700452
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.567263,6.691855,9.629559
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.547371,7.271661,9.909516
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.309189,8.216142,9.7626655
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.14056,6.38996,8.76526
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.061294,6.341011,9.2011525
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.059084,6.288433,9.1737585
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.722027,7.005335,8.363681
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.141004,6.872243,8.5066235
