"","sample","tissue","endometriosis","severity","p243910_x_at","p208838_at","p239771_at","CAND1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.193068,9.722746,4.668917,6.861577
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.193068,8.901287,5.036269,6.710208
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.228738,7.443695,4.01706,5.56316433333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.509264,8.190336,3.916269,5.538623
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.095712,9.331617,4.975938,6.801089
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.293791,8.561729,4.525679,6.46039966666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.315497,6.902658,4.778632,5.66559566666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.193068,8.612185,5.489179,6.76481066666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.180003,9.018122,5.338023,6.51204933333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.193068,8.601583,5.152461,6.64903733333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.513564,9.389943,4.781518,6.89500833333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.095712,8.745416,4.585194,6.47544066666667
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.193068,7.816638,3.624932,5.87821266666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.095712,9.231911,3.870406,6.399343
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.256333,9.442221,5.112249,6.93693433333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.008322,8.647126,4.46789,6.374446
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.8176,8.793211,4.005751,6.20552066666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.095712,8.707962,4.248351,6.350675
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.095712,9.063743,4.372477,6.510644
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.368153,8.374564,5.64941,6.79737566666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.75289,8.74057,5.594656,7.029372
