"","sample","tissue","endometriosis","severity","p1568678_s_at","p205587_at","p205588_s_at","FGFR1OP"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.901392,2.236067,6.554201,5.23055333333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.984501,2.236067,7.330958,5.51717533333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.398573,2.236067,5.359361,4.664667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.255469,2.236067,6.315378,4.935638
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.496,2.236067,7.777555,5.50320733333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.398573,2.236067,7.027253,5.220631
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.237896,2.236067,6.599058,4.691007
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.095487,2.236067,7.097575,5.143043
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.751463,2.236067,7.380959,5.456163
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.09773,2.236067,7.121561,5.48511933333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.702798,2.236067,8.053127,5.99733066666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.536678,2.236067,6.453036,5.07526033333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.161103,2.236067,6.43008,4.94241666666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.041953,2.236067,7.509203,5.595741
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.703961,2.236067,7.367529,5.43585233333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.403456,2.236067,6.43543,5.02498433333333
