"","sample","tissue","endometriosis","severity","p57715_at","p221565_s_at","CALHM2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.46524,7.205298,7.335269
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.821811,7.091545,7.456678
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.334442,6.404675,6.3695585
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.354871,7.842237,8.098554
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.650597,6.716002,7.1832995
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.647529,7.884891,8.26621
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.447365,8.087983,8.267674
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.44262,7.033964,7.238292
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.929564,6.792731,7.3611475
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.783358,8.186244,8.484801
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.807744,6.113532,6.460638
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.831704,6.506834,6.669269
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.319499,7.091904,7.2057015
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.200716,6.002647,6.6016815
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.796741,7.013463,7.405102
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.7685,8.195633,8.4820665
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.885955,8.461964,8.6739595
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.931401,6.558635,7.245018
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.973642,8.276908,8.625275
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.761754,11.05963,10.910692
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.950702,8.884239,8.9174705
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.701503,10.793886,10.7476945
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.012952,8.294114,8.153533
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.763913,11.219485,10.991699
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.777036,11.13046,10.953748
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.036577,10.21801,10.1272935
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.116082,10.416106,10.266094
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.194715,8.368955,8.281835
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.2948,9.517766,9.406283
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.096319,10.118216,10.1072675
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.761588,8.780908,8.771248
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.099743,8.222525,8.161134
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.050397,10.328289,10.189343
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.766977,10.934293,10.850635
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.457338,8.238341,8.3478395
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.029864,10.975009,11.0024365
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.130935,10.130927,10.130931
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.187695,9.373444,9.2805695
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.591889,9.473142,9.5325155
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.627929,10.856347,10.742138
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.244471,8.491411,8.367941
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.026211,9.587903,9.807057
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.910009,10.152976,10.0314925
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.640573,9.967716,9.8041445
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.822196,11.078497,10.9503465
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.169985,9.089102,9.1295435
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.468395,9.740894,9.6046445
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.298053,8.43408,8.3660665
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.508734,10.632511,10.5706225
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.062929,10.157068,10.1099985
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.315654,10.441861,10.3787575
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.458767,11.673807,11.566287
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.285018,9.773261,9.5291395
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.520674,7.079271,7.2999725
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.009418,9.287439,9.1484285
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.235345,8.220492,8.2279185
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.566387,9.68874,9.6275635
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.389499,9.515166,9.4523325
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.631573,9.72395,9.6777615
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.171103,9.387962,9.2795325
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.600761,9.674499,9.63763
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.173185,10.583703,10.378444
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.52323,9.701219,9.6122245
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.73922,7.986612,7.862916
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.55994,8.561897,8.5609185
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.832463,9.24548,9.0389715
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.90009,9.099729,8.9999095
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.267172,6.717734,6.992453
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.330748,7.024314,7.177531
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.541946,6.277158,6.409552
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.24432,7.535906,7.390113
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.801903,7.842237,7.82207
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.574226,7.377748,7.475987
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.16291,6.860923,7.0119165
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.345929,7.013799,7.179864
