"","sample","tissue","endometriosis","severity","p222893_s_at","p219504_s_at","RPAP2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.626754,6.0479,5.837327
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.416061,6.186858,6.3014595
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.234085,6.927399,6.080742
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.330274,6.119604,5.724939
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.011149,6.187067,6.099108
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.528029,6.372278,5.9501535
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.869715,6.728212,5.7989635
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.804778,6.09392,5.949349
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.224661,6.384155,6.304408
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.234085,6.125734,5.6799095
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.504772,6.222374,5.863573
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.869527,5.719961,5.794744
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.234085,6.696258,5.9651715
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.185992,6.639142,6.412567
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.580802,6.319383,6.4500925
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.234085,6.125472,5.6797785
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.486117,5.44378,5.4649485
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.965467,6.180387,6.072927
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.311144,6.013598,6.162371
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.813442,4.729726,4.771584
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.232733,4.426141,4.829437
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.869715,4.442897,4.656306
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.869715,4.40982,4.6397675
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.869715,3.933166,4.4014405
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.646947,4.219308,4.4331275
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.61408,4.34307,4.478575
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.852849,4.40982,4.1313345
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.365191,4.40982,4.8875055
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.869715,4.416266,4.6429905
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.568737,5.165204,4.8669705
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.869715,4.123541,4.496628
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.42216,4.40982,4.41599
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.404996,4.770976,4.587986
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.839678,4.40982,4.124749
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.003939,4.739816,5.8718775
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.404996,4.40982,4.407408
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.404996,4.525783,4.4653895
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.496879,4.494135,4.995507
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.970541,4.622571,4.796556
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.847863,4.40982,4.6288415
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.869715,4.359671,4.614693
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.328014,4.40982,4.368917
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.884101,4.894851,4.389476
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.948081,4.40982,4.6789505
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.869715,4.40982,4.6397675
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.904838,4.40982,4.657329
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.912068,5.685238,5.298653
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.045326,4.40982,4.727573
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.573192,5.085539,4.8293655
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.178326,5.530104,4.854215
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.404996,4.481238,4.443117
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.886275,4.40982,4.1480475
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.404996,4.271386,4.338191
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.584573,4.40982,4.4971965
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.869715,4.40982,4.6397675
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.691844,4.735038,5.713441
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.203976,4.862046,5.033011
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.636986,4.132751,4.8848685
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.952814,4.501101,5.7269575
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.344575,4.40982,4.8771975
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.869715,4.002521,4.436118
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.548825,4.466248,5.0075365
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.858666,4.841687,5.3501765
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.845533,4.40982,5.1276765
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.450764,5.204826,5.827795
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.398952,4.802319,5.1006355
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.538159,4.414059,4.976109
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.735397,4.528026,5.6317115
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.439164,5.185146,5.812155
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.464391,5.003157,5.733774
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.22288,4.863979,6.0434295
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.218983,4.425344,5.3221635
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.876465,5.446147,6.161306
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.911407,4.812367,5.861887
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.372129,5.205183,5.788656
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.968426,4.627326,5.797876
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.380027,4.95535,6.1676885
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.324417,4.79582,6.0601185
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.739349,5.010553,5.874951
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.426707,4.812104,5.6194055
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.546625,4.677737,6.112181
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.168315,5.097726,6.1330205
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.003627,4.436343,4.719985
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.803307,4.49428,5.1487935
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.37562,4.550609,5.4631145
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.099934,4.40982,4.754877
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.869715,4.427614,4.6486645
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.807633,4.40982,4.6087265
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.455735,4.514178,4.9849565
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.907151,4.607119,4.757135
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.046054,4.40982,4.727937
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.924306,4.822027,4.3731665
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.780736,4.118991,4.4498635
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.651737,4.757954,5.2048455
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.6988,4.40982,4.55431
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.235906,4.632215,4.9340605
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.337483,4.709192,5.0233375
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.404996,4.442459,4.4237275
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.842314,4.553678,4.697996
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.869715,4.40982,4.6397675
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.693239,5.467789,5.580514
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.304834,4.883147,5.5939905
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.899559,4.830284,4.8649215
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.869715,4.605632,4.7376735
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.869715,4.804019,4.836867
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.8494,4.40982,4.62961
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.764085,3.877947,4.821016
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.408835,3.843057,4.125946
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.496384,4.753978,5.125181
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.872201,3.964801,4.418501
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.012244,4.40982,4.711032
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.234085,4.867464,5.0507745
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.798562,4.696769,5.2476655
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.234085,6.431852,5.8329685
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.869715,6.158027,5.513871
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.234085,6.079769,5.656927
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.234085,6.373103,5.803594
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.173208,7.162041,6.6676245
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.377636,6.794921,6.0862785
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.169418,7.036947,6.6031825
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.259319,4.183234,5.2212765
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.50461,4.637049,5.0708295
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.533588,5.543051,6.0383195
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.873365,5.04613,5.4597475
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.087691,4.455002,5.2713465
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.690432,4.700768,5.6956
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.244312,4.334024,4.789168
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.93045,4.519711,5.2250805
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.984903,4.896752,5.4408275
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.678783,4.95915,5.3189665
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.880015,4.476878,5.1784465
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.601018,5.904513,6.2527655
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.150356,5.80825,5.979303
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.399271,5.558555,5.978913
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.21167,5.024466,5.618068
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.367039,4.433348,5.4001935
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.032692,5.367929,5.7003105
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.055252,4.172998,5.114125
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.578804,4.450627,5.0147155
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.384811,4.904915,5.644863
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.44925,5.205618,5.827434
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.538535,4.477875,5.508205
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.997832,3.780372,4.389102
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.445217,5.390413,5.917815
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.236059,4.550028,4.8930435
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.03871,5.352487,5.6955985
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.190154,5.216959,5.7035565
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.078849,4.987873,5.533361
