"","sample","tissue","endometriosis","severity","p226378_s_at","p226379_s_at","C19orf25"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.302665,3.504008,4.9033365
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.011951,3.253739,4.632845
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.138313,2.899599,4.018956
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.752492,2.999952,4.876222
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.608766,3.698433,5.1535995
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.02147,3.840384,4.930927
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.283652,4.123101,5.2033765
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.602543,3.384724,4.9936335
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.381422,3.648164,4.514793
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.971998,3.852175,5.4120865
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.227434,2.589518,4.408476
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.242715,3.250375,4.746545
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.834654,3.860787,4.8477205
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.082891,3.334561,4.708726
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.56211,3.294739,4.9284245
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.075689,3.355777,5.215733
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.113465,3.442587,5.278026
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.995169,3.294739,4.644954
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.499157,3.487496,4.9933265
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.272676,5.427161,7.3499185
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.188654,4.628575,6.9086145
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.773871,5.238182,7.5060265
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.921823,4.676942,6.7993825
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.77187,6.605073,8.1884715
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.685465,5.160004,7.4227345
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.347137,6.815201,8.581169
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.950137,7.450327,9.200232
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.342599,4.961115,7.151857
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.172861,5.946542,7.5597015
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.617675,6.279608,7.9486415
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.617904,6.920221,8.7690625
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.160956,4.756489,6.9587225
