"","sample","tissue","endometriosis","severity","p206992_s_at","p237400_at","DMAC2L"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.122883,7.726902,5.9248925
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.642098,6.107335,5.3747165
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.981949,4.905659,4.443804
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.840314,6.352855,5.0965845
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.894443,6.180113,5.537278
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.376732,6.602376,5.489554
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.720092,5.760535,4.7403135
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.720092,5.529092,4.624592
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.600848,7.379168,5.990008
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.83524,6.882575,5.3589075
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.642098,6.331977,5.4870375
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.958167,6.509614,5.2338905
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.72791,5.864652,4.796281
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.72791,4.895095,4.3115025
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.642098,7.322585,5.9823415
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.72791,6.562182,5.145046
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.720092,6.145072,4.932582
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.72791,6.807658,5.267784
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.72791,7.19911,5.46351
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.715496,7.274,5.994748
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.184817,6.780007,5.982412
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.248236,7.443404,6.34582
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.894784,6.442151,5.1684675
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.95397,5.975191,5.4645805
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.957787,7.243121,6.100454
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.904839,6.902842,6.4038405
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.808853,4.781849,4.795351
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.942259,6.925174,5.9337165
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.958425,7.510952,6.7346885
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.56758,6.057934,5.812757
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.676938,5.574263,5.6256005
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.383346,6.328402,5.855874
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.642098,5.096195,4.8691465
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.293838,4.88563,5.089734
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.642098,7.819099,6.2305985
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.642098,6.645404,5.643751
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.642098,6.619218,5.630658
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.578541,7.792702,6.6856215
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.786312,6.195041,5.9906765
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.751395,7.360267,5.555831
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.098485,7.05778,6.0781325
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.056555,4.579093,4.817824
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.181455,6.491709,5.836582
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.994251,8.514625,6.754438
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.396408,6.9551,6.175754
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.714199,6.680527,6.197363
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.660171,4.651179,5.155675
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.642098,6.689636,5.665867
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.210474,6.903545,6.0570095
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.583054,6.570635,6.0768445
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.863755,5.839,5.3513775
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.565354,6.352855,5.9591045
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.736249,7.775493,6.755871
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.341077,6.352855,5.846966
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.280143,6.231747,5.755945
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.525875,8.241549,6.883712
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.419914,5.874844,5.147379
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.24674,6.895323,5.5710315
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.643048,7.168009,5.9055285
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.347128,7.21017,6.278649
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.012724,6.274641,5.6436825
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.990275,6.268882,5.6295785
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.372015,6.941259,5.656637
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.023407,7.431265,6.227336
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.735672,7.982179,6.3589255
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.755441,6.665751,5.710596
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.268828,6.160165,5.7144965
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.771502,6.944355,5.8579285
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.574326,8.037032,6.305679
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.642098,6.869971,5.7560345
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.457198,6.950794,5.703996
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.680793,7.773886,6.2273395
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.760495,7.603725,6.18211
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.894233,6.61889,5.7565615
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.297677,7.372087,6.334882
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.085325,7.851901,6.468613
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.04817,7.710985,6.3795775
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.161604,7.689229,6.4254165
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.899172,6.897137,5.8981545
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.251352,7.194602,5.722977
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.904769,6.832396,5.8685825
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.448213,7.164413,6.306313
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.417975,6.807259,5.612617
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.643341,6.869597,5.756469
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.917912,5.929237,5.4235745
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.723669,7.470302,6.0969855
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.642098,6.106767,5.3744325
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.642098,6.482857,5.5624775
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.831453,5.622328,5.2268905
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.689069,5.164759,5.426914
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.976999,7.239455,6.108227
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.462053,6.797111,6.129582
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.89513,4.978699,4.4369145
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.025255,6.970217,5.497736
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.529178,6.952745,5.7409615
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.533025,5.536303,5.034664
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.096993,7.104916,6.1009545
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.425742,6.330697,5.3782195
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.471577,7.445325,6.458451
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.113319,7.835766,5.9745425
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.82122,6.137854,5.479537
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.324119,6.324746,5.3244325
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.739367,6.352855,5.046111
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.931197,5.73548,5.3333385
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.601634,7.2274,5.914517
