"","sample","tissue","endometriosis","severity","p228584_at","p226112_at","SGCB"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.59042,8.922559,7.2564895
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.58398,9.015681,8.2998305
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.595067,7.885949,6.740508
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.294631,9.899487,8.597059
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.59695,9.928859,9.2629045
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.145699,9.666184,8.4059415
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.009274,8.467519,7.2383965
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.914312,8.87503,7.394671
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.963029,9.237815,7.600422
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.363435,9.402018,8.3827265
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.923358,9.104557,8.0139575
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.851538,9.227013,8.0392755
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.15339,8.978288,7.065839
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.732565,9.76588,8.2492225
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.304022,10.020559,8.6622905
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.675771,9.587501,8.131636
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.048747,9.606228,8.3274875
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.799719,9.57062,8.6851695
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.557316,9.531991,8.5446535
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.560959,8.143177,6.852068
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.030442,8.628944,7.329693
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.547389,8.208027,6.877708
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.285391,8.18415,6.2347705
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.202512,7.885949,6.5442305
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.450649,7.241427,5.846038
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.087032,7.844461,5.9657465
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.432221,7.474095,6.453158
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.317827,8.898735,7.608281
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.95491,8.26959,6.61225
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.791854,7.885949,6.3389015
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.528728,7.227323,5.3780255
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.384942,7.958947,6.6719445
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.560116,6.325926,4.443021
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.733339,7.74639,6.2398645
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.386316,9.255454,7.820885
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.548693,7.884563,6.216628
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.942808,7.436358,6.189583
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.406182,8.587477,7.4968295
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.899151,7.610971,5.755061
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.563382,8.099127,6.3312545
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.015346,8.538785,7.2770655
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.74231,7.803534,6.272922
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.636345,8.467396,6.5518705
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.612719,9.089983,7.851351
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.801216,7.552046,6.176631
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.729067,8.135143,6.432105
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.911581,7.368903,5.140242
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.114144,7.956781,6.0354625
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.826293,7.806818,5.8165555
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.246492,7.189239,5.7178655
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.331713,7.883763,6.107738
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.581648,7.603455,5.0925515
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.282722,7.908116,6.595419
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.674574,8.364067,7.0193205
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.697223,7.879119,6.788171
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.303461,8.404927,6.854194
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.698408,8.61663,7.157519
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.526375,8.480106,7.5032405
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.361083,9.408004,8.3845435
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.973463,8.215469,7.094466
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.698709,9.020479,7.359594
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.263332,8.422029,7.3426805
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.939478,9.252371,7.5959245
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.122189,9.544767,7.833478
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.119377,8.812056,7.4657165
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.41958,8.590724,7.005152
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.836063,8.129859,6.982961
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.437464,10.071074,8.754269
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.018354,10.630882,9.324618
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.415945,10.025902,8.7209235
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.745036,9.946839,8.8459375
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.046106,9.845402,8.445754
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.048118,10.736466,9.392292
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.641751,9.94698,8.7943655
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.58279,10.384062,9.483426
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.516288,10.051284,8.783786
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.847393,10.416846,9.1321195
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.119942,10.326279,9.2231105
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.557837,9.749703,8.65377
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.707206,10.253414,8.48031
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.577498,9.936416,8.756957
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.436467,9.862651,8.649559
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.124427,8.717485,7.420956
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.19917,9.242642,8.220906
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.237115,8.740809,7.488962
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.939069,8.657907,7.298488
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.602892,7.885949,6.2444205
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.594865,7.885949,6.740407
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.470292,8.89512,7.682706
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.012549,7.93727,6.4749095
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.244773,8.216052,6.7304125
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.478874,7.271862,6.375368
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.257162,8.345425,6.8012935
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.36869,8.98815,7.67842
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.357734,8.298293,6.8280135
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.748801,8.19832,6.9735605
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.951969,8.764011,7.35799
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.727607,8.421266,6.5744365
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.996984,8.699559,6.3482715
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.070643,8.27847,6.1745565
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.233399,8.771507,7.502453
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.760626,8.807817,7.7842215
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.1835,8.855635,7.5195675
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.874335,7.977091,6.425713
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.63068,8.57757,7.104125
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.711111,9.000318,7.3557145
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.576364,8.257927,6.9171455
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.265877,8.38583,6.8258535
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.419059,8.324906,6.8719825
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.176617,7.885949,6.531283
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.727607,8.046327,6.386967
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.413532,8.961618,7.187575
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.928578,8.865664,7.397121
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.358056,9.459564,8.40881
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.463338,9.071067,8.2672025
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.884982,9.59987,8.242426
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.42622,9.496578,8.461399
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.314993,8.893689,8.104341
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.897377,9.459257,8.178317
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.563391,8.964325,7.263858
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",6.795564,10.926786,8.861175
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.148541,10.566096,8.8573185
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",6.883629,10.133319,8.508474
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.791767,9.825685,7.808726
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.027971,9.686463,7.857217
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.179887,9.804257,7.992072
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.176564,9.858525,8.0175445
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.771123,10.355362,8.5632425
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.929947,9.852509,8.391228
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.797457,10.274361,8.535909
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.229387,10.1316,8.1804935
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.751517,11.010517,9.881017
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.635176,10.189339,8.4122575
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.585392,9.860596,8.222994
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.390637,11.047858,9.2192475
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.175457,9.249349,7.712403
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.199626,9.974267,8.0869465
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.307622,9.713856,8.010739
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.604238,10.170842,8.88754
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.040653,10.2982,8.1694265
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.477087,9.209605,7.843346
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.18702,9.159446,7.673233
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.329944,10.054485,8.1922145
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.710719,9.482604,8.0966615
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.252068,10.018191,8.6351295
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.8681,10.100079,8.4840895
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.861489,9.847087,8.354288
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.165743,10.247106,8.7064245
