"","sample","tissue","endometriosis","severity","p1553186_x_at","p1553986_at","p235144_at","RASEF"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.800744,3.559757,6.755785,6.37209533333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.236302,3.05293,4.260544,5.84992533333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.425907,3.01289,3.479477,4.972758
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.349188,6.348778,8.437654,8.04520666666667
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.948773,3.113026,4.623133,5.561644
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.088447,6.679082,8.76456,8.177363
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.007572,7.068325,7.03001,7.701969
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.544081,3.956908,4.260544,5.58717766666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.422463,3.663792,4.260544,5.78226633333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.63019,7.832059,8.538311,8.66685333333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.402338,3.06372,6.9116,6.45921933333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.590258,3.06372,6.136169,6.26338233333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.8566,8.433665,8.557669,9.28264466666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.27441,4.843137,5.085309,6.06761866666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.141107,5.031409,6.282913,6.485143
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.980463,7.758719,9.230661,8.323281
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.737097,8.07167,9.158589,8.322452
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.159973,7.976512,9.311696,8.81606033333333
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.508179,6.961162,8.647528,8.37228966666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.398092,7.302159,8.15173,8.28399366666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.9228,2.93218,6.202713,6.019231
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.613724,6.063341,7.700844,7.459303
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.117948,3.685277,7.994303,6.93250933333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.322542,3.91812,6.208939,5.48320033333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.784397,3.06372,6.70017,5.849429
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.053217,2.962413,5.369836,5.12848866666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.734015,3.01289,3.761212,4.50270566666667
