"","sample","tissue","endometriosis","severity","p219317_at","p238992_at","POLI"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.843138,7.64827,8.245704
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.402604,6.281633,7.3421185
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.086642,5.320211,5.7034265
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.53714,6.663845,7.6004925
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.884308,6.45983,7.172069
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.072335,6.065902,7.0691185
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.953984,4.20805,5.581017
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.763187,7.317217,8.040202
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.434519,7.185252,7.8098855
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.372364,6.452424,7.412394
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.682319,6.426849,7.554584
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.250723,6.50185,7.3762865
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.36955,4.870451,7.1200005
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.084932,7.2804,7.682666
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.814336,7.539891,8.1771135
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.16649,6.540613,7.3535515
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.346966,7.292651,7.8198085
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.13181,6.765586,7.448698
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.979545,6.728844,7.3541945
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.718488,5.402575,6.0605315
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.169513,5.402965,5.786239
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.847708,5.305204,5.076456
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.79449,4.298512,5.046501
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.247056,4.648106,4.947581
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.160054,5.238335,5.1991945
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.873367,6.422763,5.148065
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.321028,4.676124,4.998576
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.784672,6.388524,6.586598
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.321095,6.689519,5.505307
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.630253,5.975226,5.3027395
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.939713,5.27157,4.6056415
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.300988,6.382633,5.8418105
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.959908,3.259701,3.6098045
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.505924,4.446394,3.976159
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.525443,6.752867,7.639155
