"","sample","tissue","endometriosis","severity","p213211_s_at","p213210_at","p222053_at","TAF6L"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.719845,4.247446,2.236067,3.73445266666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.740859,4.793932,2.236067,3.92361933333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.801398,4.56593,2.236067,3.86779833333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.891995,4.793932,2.236067,3.973998
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.719845,4.130844,2.236067,3.69558533333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.391015,4.824925,2.236067,4.150669
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.865868,4.308598,2.236067,3.803511
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.719845,4.793932,2.236067,3.91661466666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.704682,4.145184,2.236067,3.695311
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.622464,4.637899,2.236067,4.16547666666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.610386,3.508954,2.236067,3.45180233333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.902578,4.793932,2.236067,3.97752566666667
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.719845,4.99226,2.236067,3.982724
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.081892,4.236485,2.236067,3.85148133333333
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.584563,4.568137,2.236067,3.79625566666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.901321,4.793932,2.236067,3.97710666666667
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.89397,4.147149,2.236067,3.759062
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.177824,3.768804,2.236067,3.727565
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.6383,4.496509,2.236067,3.790292
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.010397,6.158155,2.236067,5.134873
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.606282,5.571455,2.236067,4.80460133333333
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.367847,6.182446,2.236067,5.26212
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.014914,4.793932,2.236067,4.34830433333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.214926,6.524476,2.236067,5.32515633333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.293748,6.960578,2.236067,5.830131
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.124819,6.357228,2.236067,5.57270466666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.790748,5.900803,2.236067,4.64253933333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.205393,6.133285,2.236067,5.19158166666667
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.005586,5.544051,2.236067,4.59523466666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.792997,5.743182,2.236067,4.59074866666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.440093,5.763039,2.236067,5.14639966666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.404424,5.590052,2.236067,5.07684766666667
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.841227,6.993167,2.236067,5.69015366666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.939621,6.941895,2.236067,5.705861
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.941169,4.793932,2.236067,3.99038933333333
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.790629,6.293847,2.236067,5.440181
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.074421,5.769379,2.236067,5.02662233333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.839755,4.793932,2.236067,4.289918
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.64492,4.793932,2.236067,4.224973
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.68194,4.793932,2.236067,4.57064633333333
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.759602,4.137532,2.236067,3.711067
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.485892,6.42738,2.236067,5.383113
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.932686,4.827097,2.236067,3.99861666666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.38044,4.793932,2.236067,4.47014633333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.702281,5.089886,2.236067,5.00941133333333
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.291192,4.793932,2.236067,4.10706366666667
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.403699,5.666188,2.236067,4.76865133333333
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.979475,5.848234,2.236067,5.02125866666667
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.095515,6.121803,2.236067,5.15112833333333
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.029072,5.625527,2.236067,4.96355533333333
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.806684,5.95468,2.236067,4.99914366666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.213635,7.322208,2.236067,5.92397
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.326098,6.580507,2.236067,5.38089066666667
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.424269,6.53129,2.236067,5.39720866666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.00019,5.850408,2.236067,4.36222166666667
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.362977,4.180917,2.236067,3.59332033333333
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.697824,4.807732,2.236067,4.580541
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.416471,5.339959,2.236067,4.66416566666667
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.474967,5.682825,2.236067,4.797953
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.686086,5.760061,2.236067,4.560738
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.380396,5.806467,2.236067,5.14097666666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.576762,5.464448,2.236067,4.75909233333333
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.073678,4.930891,2.236067,4.41354533333333
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.220237,4.793932,2.236067,4.083412
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.367872,4.621527,2.236067,4.07515533333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.291253,6.236311,2.236067,5.25454366666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.063523,5.969405,2.236067,5.089665
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.58453,4.594162,2.236067,3.80491966666667
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.79147,4.137532,2.236067,3.72168966666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.220237,4.671719,2.236067,4.04267433333333
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.722707,4.793932,2.236067,3.91756866666667
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.787343,4.793932,2.236067,4.27244733333333
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.904289,4.547661,2.236067,3.89600566666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.811758,4.793932,2.236067,3.94725233333333
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.767038,4.569673,2.236067,3.85759266666667
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.489423,4.625011,2.236067,4.11683366666667
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.861322,4.793932,2.236067,3.96377366666667
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.057683,4.907293,2.236067,4.40034766666667
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.055631,4.49926,2.236067,3.93031933333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.561448,4.427423,2.236067,4.07497933333333
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.220237,4.793932,2.236067,4.083412
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.977532,4.793932,2.236067,4.00251033333333
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.122404,4.793932,2.236067,4.38413433333333
