"","sample","tissue","endometriosis","severity","p1555501_s_at","p219507_at","RSRC1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.945771,3.96372,4.9547455
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.93535,4.88443,5.40989
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.964426,4.326402,3.645414
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.588929,3.663775,4.626352
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.230514,3.946988,4.588751
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.261127,3.946988,4.6040575
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.201124,3.370068,4.285596
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.889674,4.446524,5.168099
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.877466,4.872308,4.874887
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.982867,4.450855,4.716861
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.107692,4.894001,5.5008465
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.436369,4.478461,4.957415
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.314091,5.683376,5.9987335
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.518637,4.446524,4.9825805
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.715322,3.923302,4.819312
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.683986,4.266902,4.975444
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.436369,3.946988,4.6916785
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.758187,4.185352,4.9717695
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.816578,4.111797,5.4641875
